id,raw,numeric,unit,LABEL
fv_4d38732e,折腹，粗矮圈足，外壁饰三周凸弦纹,,,FeatureValue
fv_177d6895,通高约7.3、口径约24.5厘米,,,FeatureValue
fv_a8ee2bc3,7.3,7.3,,FeatureValue
fv_9267e10c,24.5,24.5,,FeatureValue
fv_f1cb390e,凸弦纹,,,FeatureValue
fv_c6c81f6b,陶过滤器,,,FeatureValue
fv_6c2b4bbd,敞口、稍折腹、加大圈足的钵形容器，口沿的一侧直接安一件冲天浅圜底小钵，钵底镂一小孔,,,FeatureValue
fv_9815c698,通高约11、过滤钵直径约5、过滤器直径12~12.5厘米，过滤竿长约3.5厘米,,,FeatureValue
fv_5b18feff,11.0,11.0,,FeatureValue
fv_c8cc657f,12.5,12.5,,FeatureValue
fv_14756fd1,反山M23,,,FeatureValue
fv_78d4f62a,瑶山一号墓,,,FeatureValue
fv_5abec9f5,瑶山,,,FeatureValue
fv_0001b3f8,M1,,,FeatureValue
fv_135e60c3,M1,,,FeatureValue
fv_9af7bd9f,泥质灰陶,,,FeatureValue
fv_9a8857be,喇叭形圈足,,,FeatureValue
fv_dd17980e,缸,,,FeatureValue
fv_e36763ee,夹粗砂红陶,,,FeatureValue
fv_d3567cff,粗篮纹,,,FeatureValue
fv_e00494ac,泥质灰陶器,,,FeatureValue
fv_d8d99d47,灰,,,FeatureValue
fv_52648c13,夹砂红陶,,,FeatureValue
fv_475f2a2e,侈口，圆唇，沿面平直，鱼鳍形鼎足，横断面扁圆，中部厚而边侧薄，外侧略平直,,,FeatureValue
fv_fefdff6d,瑶山十二号墓,,,FeatureValue
fv_65d4a562,M12,,,FeatureValue
fv_92e5890a,M2,,,FeatureValue
fv_c4d32e3c,仅余豆柄,,,FeatureValue
fv_339dcc03,豆柄外径9.6厘米,,,FeatureValue
fv_f6e5fd1c,9.6,9.6,,FeatureValue
fv_e46b0c2e,圈足罐,,,FeatureValue
fv_a823bc61,瑶山二号墓,,,FeatureValue
fv_daa071dd,M2,,,FeatureValue
fv_965c3aed,均为碎片，无法确认形态,,,FeatureValue
fv_59ba293c,矮鱼鳍形鼎足，横断面较扁，外侧平直，略厚于内侧，内侧折角圆弧,,,FeatureValue
fv_1a2be69f,均为细小碎片，无法确认形态,,,FeatureValue
fv_dc9721ca,瑶山三号墓,,,FeatureValue
fv_870d83cb,M3,,,FeatureValue
fv_792c7f03,M3,,,FeatureValue
fv_6a3691ad,夹砂红褐陶,,,FeatureValue
fv_028bac9a,红褐,,,FeatureValue
fv_af8491de,侈口，沿面微内凹，鱼鳍形足 | 侈口，沿面微内凹，鱼鳍形鼎足，足横断面扁，外侧平直，略厚于内侧,,,FeatureValue
fv_c9b51e0c,鼎1,,,FeatureValue
fv_9165db90,侈口，盘壁微敞，盘底平，圈足 | 侈口，盘壁微敞，盘底平，圈足上留有黑皮,,,FeatureValue
fv_4c945cf3,豆1,,,FeatureValue
fv_cc590271,口径约18厘米,,,FeatureValue
fv_a39e5a11,盛储,,,FeatureValue
fv_acdf8079,红,,,FeatureValue
fv_a88ff57c,仅可辨明圈足,,,FeatureValue
fv_1105aa29,圈足罐1,,,FeatureValue
fv_9f8059ec,粗砂,,,FeatureValue
fv_de563426,无法辨明器形,,,FeatureValue
fv_7cc6c0e2,缸1,,,FeatureValue
fv_6584a2a7,陶豆,,,FeatureValue
fv_d3fe3d4a,M4,,,FeatureValue
fv_0457e4a5,侈口，盘壁折，喇叭形圈足,,,FeatureValue
fv_97ae788f,高12.9、口径25.2、足径19.4厘米,,,FeatureValue
fv_a1a7a18b,12.9,12.9,,FeatureValue
fv_b09a0a55,25.2,25.2,,FeatureValue
fv_5404d5c8,凹弦纹,,,FeatureValue
fv_1446bf32,瑶山四号墓,,,FeatureValue
fv_c990d332,M4,,,FeatureValue
fv_ac903c41,圈足盘,,,FeatureValue
fv_9998402b,泥质灰胎，外胎为橙黄色,,,FeatureValue
fv_4763b987,橙黄色,,,FeatureValue
fv_fdad82f1,磨光,,,FeatureValue
fv_60c28b22,鼓腹，圜底近平，鱼鳍形足,,,FeatureValue
fv_a0b5dd4a,夹粗砂褐胎,,,FeatureValue
fv_13c08e10,褐胎，外表红色,,,FeatureValue
fv_e11566d8,直口，尖唇，近底部胎较厚,,,FeatureValue
fv_5bbd866c,斜向篮纹,,,FeatureValue
fv_f8913285,平底盘,,,FeatureValue
fv_8085d32c,泥质橙红胎黑皮陶,,,FeatureValue
fv_4cdacb58,橙红胎黑皮,,,FeatureValue
fv_9031dc5f,宽沿，沿面弧凸，浅弧腹，平底，假圈足,,,FeatureValue
fv_d56ce09b,高6、口径25.8、底径11.2厘米,,,FeatureValue
fv_1d013617,6.0,6.0,,FeatureValue
fv_a2d65dfc,25.8,25.8,,FeatureValue
fv_ebd53c4d,瑶山五号墓,,,FeatureValue
fv_0b55b398,M5,,,FeatureValue
fv_1fc1157c,M5,,,FeatureValue
fv_61871e17,红褐色,,,FeatureValue
fv_934478ae,侈口，斜唇，鱼鳍形鼎足，横断面呈扁圆形,,,FeatureValue
fv_74274b6c,彩绘,,,FeatureValue
fv_cb734a06,朱色彩绘,,,FeatureValue
fv_17027afa,泥质陶,,,FeatureValue
fv_757c3528,黑胎，橙红色表皮,,,FeatureValue
fv_f25f9975,瑶山六号墓,,,FeatureValue
fv_1daeaefc,M6,,,FeatureValue
fv_22f08982,M6,,,FeatureValue
fv_c0197573,泥质橙红陶,,,FeatureValue
fv_8234917e,橙红,,,FeatureValue
fv_f9619921,浅腹，折壁,,,FeatureValue
fv_7a6d5fae,不明器种,,,FeatureValue
fv_01ee9f83,夹细砂红陶,,,FeatureValue
fv_e4c4d464,细砂,,,FeatureValue
fv_c9e77b3d,带鸡冠状鳖耳，残甚，无法辨明器形,,,FeatureValue
fv_7cc3d449,侈口，沿面微内凹，鼎足为鱼鳍形，断面外侧平直,,,FeatureValue
fv_c23d659c,极破碎，无法辨明器形,,,FeatureValue
fv_6281bcb2,瑶山七号墓,,,FeatureValue
fv_e259d676,M7,,,FeatureValue
fv_90cfc159,M7,,,FeatureValue
fv_06e11e2a,橙色,,,FeatureValue
fv_7ad4c483,鱼鳍形鼎足,,,FeatureValue
fv_8f47da11,夹粗砂陶,,,FeatureValue
fv_faee69d7,黑灰色胎，红色器表,,,FeatureValue
fv_faf35bb7,红色,,,FeatureValue
fv_979316e3,灰色、橙色、黑皮、红陶衣,,,FeatureValue
fv_63a2863d,瑶山八号墓,,,FeatureValue
fv_52d54d23,M8,,,FeatureValue
fv_7cb8e889,M8,,,FeatureValue
fv_d5163b2c,橙红胎，黑皮,,,FeatureValue
fv_ff4298eb,夹细砂红褐陶,,,FeatureValue
fv_b190b205,红陶,,,FeatureValue
fv_310225dd,篮纹,,,FeatureValue
fv_b696b60d,夹砂陶,,,FeatureValue
fv_9442daf9,红褐色胎，外表灰黑色,,,FeatureValue
fv_d7ba662c,鱼鳍形足，外侧平且略厚,,,FeatureValue
fv_f8289728,M9,,,FeatureValue
fv_a6ce6c20,夹细砂陶,,,FeatureValue
fv_28ecac0c,细砂,,,FeatureValue
fv_ec8d0faf,红褐色（内侧），灰黑色（外侧）,,,FeatureValue
fv_634d2726,侈口，沿面内凹，鼓腹，圜底，扁鱼鳍形足,,,FeatureValue
fv_3ffc07c3,高18.4、口径14.8厘米,,,FeatureValue
fv_1b135c9a,18.4,18.4,,FeatureValue
fv_138d6c8b,14.8,14.8,,FeatureValue
fv_a700cc9f,橙红色（胎表）,,,FeatureValue
fv_0742fa23,侈口，斜唇，盘腹外侧微折，喇叭形矮圈足,,,FeatureValue
fv_14d4f270,高10.3、口径21.8、足径18.6厘米,,,FeatureValue
fv_923625d5,10.3,10.3,,FeatureValue
fv_4e89c629,21.8,21.8,,FeatureValue
fv_0f1b26b9,凹弦纹，凹弧边三角形和圆形未透镂孔组成的纹带,,,FeatureValue
fv_e12a32d4,瑶山九号墓,,,FeatureValue
fv_04e7d7ad,M9,,,FeatureValue
fv_02231b7d,橙红色（器表施陶衣）,,,FeatureValue
fv_af5f37bb,侈口，沿面斜直,,,FeatureValue
fv_4cbcfa91,粗砂,,,FeatureValue
fv_785f65fd,尖唇，深腹，圜底近平,,,FeatureValue
fv_e42e56c3,高32.4、口径32~33.5厘米,,,FeatureValue
fv_72425446,32.4,32.4,,FeatureValue
fv_93c7c26d,32.0,32.0,,FeatureValue
fv_8240c43f,M10,,,FeatureValue
fv_c0389c99,M10,,,FeatureValue
fv_aef4440e,灰红色胎，黑皮,,,FeatureValue
fv_39bbe973,圆唇，盘壁较直,,,FeatureValue
fv_8dfc0656,口径20.4厘米,,,FeatureValue
fv_f5c74590,瑶山十号墓,,,FeatureValue
fv_7f2ba7af,红色胎，灰黑色器表,,,FeatureValue
fv_d4ac46a8,过滤器,,,FeatureValue
fv_49592084,瑶山十一号墓,,,FeatureValue
fv_0f15ca36,M11,,,FeatureValue
fv_fe9dec22,M11,,,FeatureValue
fv_6071c8ee,灰色,,,FeatureValue
fv_c4cc9788,过滤,,,FeatureValue
fv_452473db,陶鼎,,,FeatureValue
fv_b923897f,侈口，沿面平直，鼓腹，圜底，鱼鳍形足,,,FeatureValue
fv_a3f34338,高18、口径13.9厘米,,,FeatureValue
fv_1c4e9b4f,18.0,18.0,,FeatureValue
fv_a295879c,13.9,13.9,,FeatureValue
fv_089a2ba8,器表光滑,,,FeatureValue
fv_1abf9e7f,陶甑,,,FeatureValue
fv_ce4cc6a2,深褐色,,,FeatureValue
fv_7184f9f2,侈口，沿面直，微鼓腹，平底，底中间有大孔，腹外壁有2个对称的鸡冠状鳖耳,,,FeatureValue
fv_dd3bd296,高10.3、口径15.5、底径10.2厘米,,,FeatureValue
fv_6fdb1826,15.5,15.5,,FeatureValue
fv_ec453687,侈口，沿面微有凹凸不平，鼓腹，圜底，矮鱼鳍形足,,,FeatureValue
fv_e3a24ef3,高14.8、口径13.6厘米,,,FeatureValue
fv_e50e782b,14.8,14.8,,FeatureValue
fv_b32c4ad8,13.6,13.6,,FeatureValue
fv_eb992c10,侈口，斜唇，沿面内凹，鼓腹，矮圈足外撇,,,FeatureValue
fv_d3c24903,口径约11、足径约16厘米,,,FeatureValue
fv_ab603d11,11.0,11.0,,FeatureValue
fv_a500f913,器表磨光,,,FeatureValue
fv_cbe3d3e0,灰色、橙色,,,FeatureValue
fv_d702c227,侈口，盘壁微折，喇叭形圈足,,,FeatureValue
fv_28a15dd7,口径约23.4厘米,,,FeatureValue
fv_4701bef7,23.4,23.4,,FeatureValue
fv_2f84270d,瑶山遗址十一号墓,,,FeatureValue
fv_6f40c2a3,M14,,,FeatureValue
fv_eb5323e0,第4层,,,FeatureValue
fv_08195c04,M14,,,FeatureValue
fv_0d2d353b,灰陶,,,FeatureValue
fv_f45861cc,浅盘，折腹,,,FeatureValue
fv_a8053013,夹细砂,,,FeatureValue
fv_01047e1f,石英云母物质,,,FeatureValue
fv_5d961fee,侈口，折沿，浅腹，圜底近平，鱼鳍形足,,,FeatureValue
fv_ad9fee79,抹划,,,FeatureValue
fv_28b0ea9c,褐色,,,FeatureValue
fv_cbcff640,卷沿，鼓腹，矮圈足,,,FeatureValue
fv_f652692b,夹粗砂,,,FeatureValue
fv_79752386,侈口，深腹，尖圜底,,,FeatureValue
fv_f9fed299,M12,,,FeatureValue
fv_de25c394,圈足,,,FeatureValue
fv_1e6e1a69,鱼鳍形足,,,FeatureValue
fv_2684b067,泥质黑胎黑皮陶,,,FeatureValue
fv_a37be380,黑胎黑皮,,,FeatureValue
fv_0e6fb384,大口缸,,,FeatureValue
fv_b0844d1a,拍印,,,FeatureValue
fv_786daee3,夹细砂黑皮陶,,,FeatureValue
fv_f5dea7bf,仅可辨过滤器之上部分,,,FeatureValue
fv_c2e58977,口径6厘米,,,FeatureValue
fv_2850d54d,6.0,6.0,,FeatureValue
fv_c4857b10,M14,,,FeatureValue
fv_98540c17,长1.4、直径0.95厘米,,,FeatureValue
fv_dc3c4051,1.4,1.4,,FeatureValue
fv_75ff909b,0.95,0.95,,FeatureValue
fv_7e576774,长1.9、直径1厘米,,,FeatureValue
fv_94f13314,1.9,1.9,,FeatureValue
fv_f0a1ef4e,1.0,1.0,,FeatureValue
fv_9ffc708e,长1.4、直径0.9厘米,,,FeatureValue
fv_a65b40cb,0.9,0.9,,FeatureValue
fv_ee4a98b3,直径约0.8厘米,,,FeatureValue
fv_1961a015,0.8,0.8,,FeatureValue
fv_20ce3faf,长1.4、直径1厘米,,,FeatureValue
fv_af9d3e4e,直径约0.6厘米,,,FeatureValue
fv_05096543,0.6,0.6,,FeatureValue
fv_378321c5,长1.4、直径1.1厘米,,,FeatureValue
fv_b4689610,1.1,1.1,,FeatureValue
fv_aae1cd79,一面留有线切割痕迹,,,FeatureValue
fv_5957fc8b,长1.35、直径1.2厘米,,,FeatureValue
fv_ccf8844f,1.35,1.35,,FeatureValue
fv_429d00bf,1.2,1.2,,FeatureValue
fv_aa4e9c54,单面钻孔，可与251号拼接,,,FeatureValue
fv_414674b3,长2、直径1.3厘米,,,FeatureValue
fv_ed3525e3,2.0,2.0,,FeatureValue
fv_ccc9d1d3,1.3,1.3,,FeatureValue
fv_2e04ba0c,"单面钻孔, 可与 108-1 号拼接, 其中一面留有线切割痕迹",,,FeatureValue
fv_a3702e9c,长 2、直径 1.2 厘米,,,FeatureValue
fv_cb52a353,浅蓝色,,,FeatureValue
fv_5a043cfd,外壁留有弧状切割痕迹,,,FeatureValue
fv_25b3c3b1,长2.45、直径0.75厘米,,,FeatureValue
fv_fb92a64f,2.45,2.45,,FeatureValue
fv_251c103d,0.75,0.75,,FeatureValue
fv_a2b709d3,外壁一侧留有凹弧状切割痕迹,,,FeatureValue
fv_1a5ff0a5,长3、直径1厘米,,,FeatureValue
fv_744772f6,3.0,3.0,,FeatureValue
fv_2df6b77f,南瓜黄,,,FeatureValue
fv_3c878c59,鸡骨白,,,FeatureValue
fv_695a7e5c,长1.8、直径1.1厘米,,,FeatureValue
fv_c8e0929a,1.8,1.8,,FeatureValue
fv_73f48981,长1.85、直径1厘米,,,FeatureValue
fv_34a62013,1.85,1.85,,FeatureValue
fv_533ceef2,其中一面还留有两次的钻痕,,,FeatureValue
fv_d8f7e105,长2.15、直径1.2厘米,,,FeatureValue
fv_6c3d74ab,2.15,2.15,,FeatureValue
fv_f97b50b1,长1.8、直径1厘米,,,FeatureValue
fv_2cc3681f,长2.2、直径1.05厘米,,,FeatureValue
fv_b92fdeb1,2.2,2.2,,FeatureValue
fv_f3d01c54,1.05,1.05,,FeatureValue
fv_09770f30,长3.65、直径1.07厘米,,,FeatureValue
fv_2e89bdb4,3.65,3.65,,FeatureValue
fv_d9016ae9,1.07,1.07,,FeatureValue
fv_dce5c2cd,长2.05、直径1厘米,,,FeatureValue
fv_9c2ea3bc,2.05,2.05,,FeatureValue
fv_dbe88d0e,长1.5、直径0.9厘米,,,FeatureValue
fv_a497562a,1.5,1.5,,FeatureValue
fv_5d81de18,长1、直径0.7厘米,,,FeatureValue
fv_3a23a8d4,1.0,1.0,,FeatureValue
fv_e8d63d7b,0.7,0.7,,FeatureValue
fv_f4cc6b8b,长2.05、直径1.05厘米,,,FeatureValue
fv_ecb583d0,直径约1.3厘米,,,FeatureValue
fv_864fe187,外壁留有竖向的擦痕,,,FeatureValue
fv_25ef2bed,长2.1、直径1.2厘米,,,FeatureValue
fv_ffc2ed6e,2.1,2.1,,FeatureValue
fv_a6c2c0c1,外壁留有片切割痕迹,,,FeatureValue
fv_6ae66c62,长2.3、直径0.72厘米,,,FeatureValue
fv_5c26ecc8,2.3,2.3,,FeatureValue
fv_ac4c4530,0.72,0.72,,FeatureValue
fv_667baaed,残朽,,,FeatureValue
fv_3c265b06,长1.3、直径0.8厘米,,,FeatureValue
fv_cba0abcc,1.3,1.3,,FeatureValue
fv_accaf7c1,长1.7、直径1.08厘米,,,FeatureValue
fv_554b46b4,1.7,1.7,,FeatureValue
fv_20d70288,1.08,1.08,,FeatureValue
fv_f39edf27,长0.9、直径0.7厘米,,,FeatureValue
fv_187d7b61,0.9,0.9,,FeatureValue
fv_a0603fad,对钻孔，中间切磨一周凹弦纹,,,FeatureValue
fv_175ed02d,长1.3、直径0.7厘米,,,FeatureValue
fv_4af9c644,弦纹,,,FeatureValue
fv_0e6a6765,长1.1、直径0.7厘米,,,FeatureValue
fv_b402f694,1.1,1.1,,FeatureValue
fv_9b15618e,夹砂黑皮陶,,,FeatureValue
fv_96883abb,陶罐,,,FeatureValue
fv_9b2a95b6,子母口,,,FeatureValue
fv_67337bce,泥质黑皮陶,,,FeatureValue
fv_fd5791ba,足径约10厘米,,,FeatureValue
fv_3b19c5da,10.0,10.0,,FeatureValue
fv_1175e709,夹砂褐陶,,,FeatureValue
fv_75229b6c,褐陶,,,FeatureValue
fv_387c7160,陶大口缸,,,FeatureValue
fv_32892fbf,大口缸,,,FeatureValue
fv_e94f009a,19860701,19860701.0,,FeatureValue
fv_9d91ceaf,反山十六号墓,,,FeatureValue
fv_c65ecf11,M16,,,FeatureValue
fv_6f0d92e1,M16,,,FeatureValue
fv_d98b55ab,鱼鳍形足，足横截面外侧微厚,,,FeatureValue
fv_9bdf6315,圈足内有螺旋状轮制痕迹,,,FeatureValue
fv_63396736,轮制,,,FeatureValue
fv_6b469a38,侈口，口沿内面略凹，耸肩,,,FeatureValue
fv_3599446f,残,,,FeatureValue
fv_f2690ff6,M17,,,FeatureValue
fv_709089ae,M17,,,FeatureValue
fv_7e3c83fb,M17,,,FeatureValue
fv_d0faa41c,黑皮陶,,,FeatureValue
fv_1ceb7bc3,朽甚,,,FeatureValue
fv_a21fb4b5,浅盘，盘底较平，折腹，腹与盘底相接处有一周凹弦纹。大喇叭形圈足，有两组凸弦纹，其间相杂4个长方形镂孔 | 口沿略向外翻卷，浅盘，腹底向内折收，交接处均有一周凹棱；喇叭形大圈足较粗，中段有一组或二组凸弦纹，弦纹之间等距饰三个或四个扁方形小镂孔,,,FeatureValue
fv_6ef35999,口径22.4、高12.2、圈足径18.4厘米,,,FeatureValue
fv_c1e10dea,12.2,12.2,,FeatureValue
fv_a4d993b6,22.4,22.4,,FeatureValue
fv_90f56df4,夹砂黑胎褐陶,,,FeatureValue
fv_0241a437,鱼鳍形足，足外侧较厚,,,FeatureValue
fv_e5c8a873,口沿外壁有朱痕,,,FeatureValue
fv_94a4b75d,鼎足残片,,,FeatureValue
fv_19e7ef9c,侈口，鼓腹，鱼鳍形足,,,FeatureValue
fv_0686b2af,口径约8.4厘米,,,FeatureValue
fv_39297235,8.4,8.4,,FeatureValue
fv_68563c09,直口，圆唇,,,FeatureValue
fv_455b18e9,鼎,,,FeatureValue
fv_21362ed5,罐,,,FeatureValue
fv_53330860,反山二十号墓,,,FeatureValue
fv_0714a9b1,甑鼎（一套）,,,FeatureValue
fv_a528d579,矮领，耸肩，圈足,,,FeatureValue
fv_1c1c1ddc,侈口，垂腹，圈足,,,FeatureValue
fv_b7d0e233,口径约13.5厘米,,,FeatureValue
fv_e7318f29,13.5,13.5,,FeatureValue
fv_448dac0e,水器,,,FeatureValue
fv_bd775d90,甑鼎,,,FeatureValue
fv_295fe8b0,侈口，圈足,,,FeatureValue
fv_44840d03,鼓腹，圈足,,,FeatureValue
fv_b6d8d837,侈口，口沿内面略凹，鱼鳍形足，足外侧略厚,,,FeatureValue
fv_47931803,M23,,,FeatureValue
fv_04f0935b,长2.25、直径0.95厘米,,,FeatureValue
fv_3df4e819,2.25,2.25,,FeatureValue
fv_ab2ad067,长2.85、直径1.3厘米,,,FeatureValue
fv_864987e6,2.85,2.85,,FeatureValue
fv_9a82be18,灰紫色,,,FeatureValue
fv_97fb2437,长2.4、直径1.2厘米,,,FeatureValue
fv_8de989ee,2.4,2.4,,FeatureValue
fv_1f59efa4,长2.5、直径1.1厘米,,,FeatureValue
fv_fc32c860,2.5,2.5,,FeatureValue
fv_086226d5,残长2.4、直径1.4厘米,,,FeatureValue
fv_e5c78cff,1.4,1.4,,FeatureValue
fv_e419d9e3,长2.5~2.6、直径1.05~1.1厘米,,,FeatureValue
fv_361cb392,2.55,2.55,,FeatureValue
fv_6ac76ad1,1.075,1.075,,FeatureValue
fv_580085a8,长3.6、直径1.6厘米,,,FeatureValue
fv_07072591,3.6,3.6,,FeatureValue
fv_3b796205,1.6,1.6,,FeatureValue
fv_1e34ff29,球形隧孔珠,,,FeatureValue
fv_a515b2b7,在203号陶鼎下,,,FeatureValue
fv_3e92d116,碎甚,,,FeatureValue
fv_4dbca5a0,陶盘,,,FeatureValue
fv_c0491c2f,整理编号,,,FeatureValue
fv_8f20920c,高领罐,,,FeatureValue
fv_b510333f,残墓坑北端,,,FeatureValue
fv_260c42d8,M21,,,FeatureValue
fv_1f7af70c,M21,,,FeatureValue
fv_31e779d4,高领 | 敞口，圈足,,,FeatureValue
fv_c93ebb5e,足径21.2厘米,,,FeatureValue
fv_0bfabc77,高领 | 敞口,,,FeatureValue
fv_62f4fabf,口径约33厘米,,,FeatureValue
fv_fee1c402,33.0,33.0,,FeatureValue
fv_d8b2c80a,高领 | 敞口，平底,,,FeatureValue
fv_9c8e15fe,口径18.4、底径13.4厘米,,,FeatureValue
fv_3efc1024,18.4,18.4,,FeatureValue
fv_b2101c72,壶,,,FeatureValue
fv_97c9e932,壶,,,FeatureValue
fv_e025a57b,翘流,,,FeatureValue
fv_72618af7,嵌玉,,,FeatureValue
fv_b325d13c,吴福宝,,,FeatureValue
fv_2453ab0a,良渚博物院,,,FeatureValue
fv_a470887a,M20,,,FeatureValue
fv_46785631,夹砂黑陶,,,FeatureValue
fv_80fb044b,圆唇，敞口，溜肩，鼓腹，矮圈足略向外撇,,,FeatureValue
fv_dc1cea5e,口径14.3、高18.3、圈足底径14厘米,,,FeatureValue
fv_92c3dbba,18.3,18.3,,FeatureValue
fv_80f259a0,敞口，圆唇，鼓腹，圜底,,,FeatureValue
fv_a44653e7,口径14、通高17.7厘米,,,FeatureValue
fv_e5801469,17.7,17.7,,FeatureValue
fv_574afe58,14.0,14.0,,FeatureValue
fv_60f9810c,文家山M1,,,FeatureValue
fv_c8ce4005,文家山墓地,,,FeatureValue
fv_78a2b246,②层下,,,FeatureValue
fv_fe10418e,"直敞口, 圆唇, 折腹, 底近乎, 喇叭形豆把较高, 外饰五道竹节状凸棱 | 直敞口，圆唇，喇叭形豆把上饰有五道竹节状凸棱",,,FeatureValue
fv_ff81346a,口径19.2、高16厘米,,,FeatureValue
