id,name,LABEL,value
dim_02239937,基本尺寸:尺寸描述,E54_Dimension,口径6厘米
dim_d8e49aa4,基本尺寸:尺寸描述,E54_Dimension,长1.4、直径0.95厘米
dim_f460d0d4,基本尺寸:尺寸描述,E54_Dimension,长1.9、直径1厘米
dim_73bae4d9,基本尺寸:尺寸描述,E54_Dimension,长1.4、直径0.9厘米
dim_bf0c7502,基本尺寸:尺寸描述,E54_Dimension,长1.4、直径0.9厘米
dim_0f4a0033,基本尺寸:尺寸描述,E54_Dimension,直径约0.8厘米
dim_840958ee,基本尺寸:尺寸描述,E54_Dimension,长1.4、直径1厘米
dim_68ebcdea,基本尺寸:尺寸描述,E54_Dimension,直径约0.6厘米
dim_8dd3a527,基本尺寸:尺寸描述,E54_Dimension,长1.4、直径1.1厘米
dim_73ab0278,基本尺寸:尺寸描述,E54_Dimension,长1.35、直径1.2厘米
dim_3dea563d,基本尺寸:尺寸描述,E54_Dimension,长2、直径1.3厘米
dim_c1029c67,基本尺寸:尺寸描述,E54_Dimension,长 2、直径 1.2 厘米
dim_1b0bf5d6,基本尺寸:尺寸描述,E54_Dimension,长2、直径1.3厘米
dim_3a789719,基本尺寸:尺寸描述,E54_Dimension,长2.45、直径0.75厘米
dim_c99b451d,基本尺寸:尺寸描述,E54_Dimension,长3、直径1厘米
dim_5e209a1a,基本尺寸:尺寸描述,E54_Dimension,长1.8、直径1.1厘米
dim_58ab2c18,基本尺寸:尺寸描述,E54_Dimension,长1.85、直径1厘米
dim_cc1a7faf,基本尺寸:尺寸描述,E54_Dimension,长2.15、直径1.2厘米
dim_8638bd02,基本尺寸:尺寸描述,E54_Dimension,长1.85、直径1厘米
dim_6bdb6efc,基本尺寸:尺寸描述,E54_Dimension,长1.8、直径1厘米
dim_24e24f98,基本尺寸:尺寸描述,E54_Dimension,长2.2、直径1.05厘米
dim_d2a98c57,基本尺寸:尺寸描述,E54_Dimension,长3.65、直径1.07厘米
dim_7ccdda1e,基本尺寸:尺寸描述,E54_Dimension,长2.05、直径1厘米
dim_0ccaa439,基本尺寸:尺寸描述,E54_Dimension,长1.5、直径0.9厘米
dim_92e103da,基本尺寸:尺寸描述,E54_Dimension,长1、直径0.7厘米
dim_e67ff018,基本尺寸:尺寸描述,E54_Dimension,长2.05、直径1.05厘米
dim_b4654005,基本尺寸:尺寸描述,E54_Dimension,直径约1.3厘米
dim_b7793a46,基本尺寸:尺寸描述,E54_Dimension,长2.1、直径1.2厘米
dim_b59daf0c,基本尺寸:尺寸描述,E54_Dimension,长1.4、直径0.95厘米
dim_f51efdec,基本尺寸:尺寸描述,E54_Dimension,长2.3、直径0.72厘米
dim_aa96fc37,基本尺寸:尺寸描述,E54_Dimension,长1.3、直径0.8厘米
dim_8f3022e4,基本尺寸:尺寸描述,E54_Dimension,长1.9、直径1厘米
dim_d5a6d5a5,基本尺寸:尺寸描述,E54_Dimension,长1.7、直径1.08厘米
dim_16653fe1,基本尺寸:尺寸描述,E54_Dimension,长0.9、直径0.7厘米
dim_50d3fcfc,基本尺寸:尺寸描述,E54_Dimension,长1.3、直径0.7厘米
dim_e8d9290e,基本尺寸:尺寸描述,E54_Dimension,长1.1、直径0.7厘米
mat_9c906731,夹砂黑皮陶,E57_Material,
type_44e92372,陶罐,E55_Type,
mat_93a1cdc4,泥质黑皮陶,E57_Material,
dim_387107af,基本尺寸:尺寸描述,E54_Dimension,足径约10厘米
mat_f6c4f722,夹砂褐陶,E57_Material,
type_28410f7f,陶大口缸,E55_Type,
type_04119f8b,轮制,E55_Type,
dim_4db45fd2,基本尺寸:尺寸描述,E54_Dimension,口径22.4、高12.2、圈足径18.4厘米
mat_34fadd68,夹砂黑胎褐陶,E57_Material,
type_35ecb309,鼎足残片,E55_Type,
dim_5beb21e9,基本尺寸:尺寸描述,E54_Dimension,口径约8.4厘米
dim_786935c8,基本尺寸:尺寸描述,E54_Dimension,口径约13.5厘米
dim_6528c240,基本尺寸:尺寸描述,E54_Dimension,口径6厘米
type_b94a6ae4,水器,E55_Type,
type_bc9d903c,甑鼎,E55_Type,
dim_3059af1b,基本尺寸:尺寸描述,E54_Dimension,长1.9、直径1厘米
dim_1e37ccc4,基本尺寸:尺寸描述,E54_Dimension,长2.25、直径0.95厘米
dim_2fb4bdb4,基本尺寸:尺寸描述,E54_Dimension,长2.85、直径1.3厘米
dim_73c941f0,基本尺寸:尺寸描述,E54_Dimension,长2.4、直径1.2厘米
dim_8f848fba,基本尺寸:尺寸描述,E54_Dimension,长2.5、直径1.1厘米
dim_c1ed4c91,基本尺寸:尺寸描述,E54_Dimension,残长2.4、直径1.4厘米
dim_694fbd89,基本尺寸:尺寸描述,E54_Dimension,长2.5~2.6、直径1.05~1.1厘米
dim_2dc8ebb0,基本尺寸:尺寸描述,E54_Dimension,长3.6、直径1.6厘米
type_095c6eab,球形隧孔珠,E55_Type,
type_0fa794fd,陶盘,E55_Type,
type_fcaf2017,高领罐,E55_Type,
dim_6e5ae4f5,基本尺寸:尺寸描述,E54_Dimension,足径21.2厘米
dim_23c9b69a,基本尺寸:尺寸描述,E54_Dimension,口径约33厘米
dim_aa2fc820,基本尺寸:尺寸描述,E54_Dimension,口径18.4、底径13.4厘米
type_30db79c5,壶,E55_Type,
type_3c2d2ad3,嵌玉,E55_Type,
mat_1b85376a,夹砂黑陶,E57_Material,
dim_cabaec78,基本尺寸:尺寸描述,E54_Dimension,口径14.3、高18.3、圈足底径14厘米
dim_9fd9b9cb,基本尺寸:尺寸描述,E54_Dimension,口径14、通高17.7厘米
dim_4c5e6cb4,基本尺寸:尺寸描述,E54_Dimension,口径19.2、高16厘米
type_82dd437e,饰,E55_Type,
dim_f0711c78,基本尺寸:尺寸描述,E54_Dimension,口径17.6、高15.4厘米
type_551ab92c,陶尊,E55_Type,
dim_23fd660b,基本尺寸:尺寸描述,E54_Dimension,口径13.4、高22厘米
dim_0b67c46c,基本尺寸:尺寸描述,E54_Dimension,口径10.7、高15.5厘米
dim_32c60e0e,基本尺寸:尺寸描述,E54_Dimension,口径17.2、高10.8厘米
type_30c7b4d7,"饰, 戳",E55_Type,
dim_f1dd0b82,基本尺寸:尺寸描述,E54_Dimension,口径19.2、高14.8厘米
type_9d92e284,宽把杯,E55_Type,
dim_623de2c1,基本尺寸:尺寸描述,E54_Dimension,残高6.6厘米
type_0e5a0680,T形足鼎,E55_Type,
dim_d18d3101,基本尺寸:尺寸描述,E54_Dimension,口径16.4、高12厘米
type_17cf4561,陶盆,E55_Type,
dim_75a070ef,基本尺寸:尺寸描述,E54_Dimension,口径12、残高6厘米
dim_3d48849a,基本尺寸:尺寸描述,E54_Dimension,口径18.8、高11厘米
type_07ea60da,戳,E55_Type,
dim_c5d060e5,基本尺寸:尺寸描述,E54_Dimension,口径20.4、高12.2厘米
type_799f2114,截,E55_Type,
dim_77f284e5,基本尺寸:尺寸描述,E54_Dimension,口径16.8、高13厘米
dim_998d0e90,基本尺寸:尺寸描述,E54_Dimension,口径19.2、高5.6厘米
dim_e646d2a5,基本尺寸:尺寸描述,E54_Dimension,口径16.8、高10厘米
mat_1b8c60a0,泥质红衣陶,E57_Material,
dim_1f72fc8b,基本尺寸:尺寸描述,E54_Dimension,口径10.8、高13厘米
type_65483c3c,陶纺轮,E55_Type,
dim_a562b600,基本尺寸:尺寸描述,E54_Dimension,直径4.6、厚1.2厘米
dim_18018572,基本尺寸:尺寸描述,E54_Dimension,口径10.2、高14.4厘米
mat_f137740c,泥质红陶,E57_Material,
dim_dcea937b,基本尺寸:尺寸描述,E54_Dimension,口径12、高15.6厘米
type_f976e598,鱼鳍足鼎,E55_Type,
dim_9d74a77d,基本尺寸:尺寸描述,E54_Dimension,口径13.5、高16厘米
dim_172f565a,基本尺寸:尺寸描述,E54_Dimension,口径20.6、高8.7厘米
type_48060383,"饰, 截",E55_Type,
dim_96eb23eb,基本尺寸:尺寸描述,E54_Dimension,口径16、高13.4厘米
dim_9bc550b0,基本尺寸:尺寸描述,E54_Dimension,口径9.2、高12.4厘米
type_aa544c39,圆锥足鼎,E55_Type,
dim_82ddee3f,基本尺寸:尺寸描述,E54_Dimension,口径17.6、高16.2~17厘米
dim_fb90e400,基本尺寸:尺寸描述,E54_Dimension,口径10.2、高13.4厘米
dim_e245ab33,基本尺寸:尺寸描述,E54_Dimension,口径16.9、高8.8厘米
type_d49dc1c4,刻,E55_Type,
mat_0038a6ef,夹砂,E57_Material,
dim_98ee569b,基本尺寸:尺寸描述,E54_Dimension,口径12.7、高12.9厘米
dim_94f992d3,基本尺寸:尺寸描述,E54_Dimension,口径8.4、残高7.8厘米
dim_431fe4fa,基本尺寸:尺寸描述,E54_Dimension,口径10.1、高12.9厘米
dim_a07dcdf9,基本尺寸:尺寸描述,E54_Dimension,口径12、高16厘米
dim_821e8d9f,基本尺寸:尺寸描述,E54_Dimension,口径18.4、高8厘米
dim_159ad78c,基本尺寸:尺寸描述,E54_Dimension,口径18、高13.4厘米
type_d4262612,尊,E55_Type,
dim_39356a4d,基本尺寸:尺寸描述,E54_Dimension,口径9、残高12厘米
dim_6b9bbbaf,基本尺寸:尺寸描述,E54_Dimension,口径10.4、高8.6厘米
dim_1bfea227,基本尺寸:尺寸描述,E54_Dimension,口径18、高13厘米
dim_ea465ec1,基本尺寸:尺寸描述,E54_Dimension,口径21、高8.5厘米
dim_623f99a1,基本尺寸:尺寸描述,E54_Dimension,口径10、残高12厘米
dim_44067957,基本尺寸:尺寸描述,E54_Dimension,口径12.7、高17厘米
dim_4d3685aa,基本尺寸:尺寸描述,E54_Dimension,口径20.8、高11厘米
dim_80a019e9,基本尺寸:尺寸描述,E54_Dimension,口径16、高15.2~15.9厘米
dim_88a4168b,基本尺寸:尺寸描述,E54_Dimension,口径12、高16.8厘米
dim_4106b4b8,基本尺寸:尺寸描述,E54_Dimension,口径13、高13.4厘米
dim_1c0baa95,基本尺寸:尺寸描述,E54_Dimension,口径18.4、高6.6厘米
mat_9a719e98,夹砂或泥质,E57_Material,
dim_f2bb14fe,基本尺寸:尺寸描述,E54_Dimension,残高8.4厘米
type_3e502364,A型镀,E55_Type,
type_939e162c,Ⅱ式,E55_Type,
dim_18dbafe8,基本尺寸:尺寸描述,E54_Dimension,口径11.1、高8.7厘米
dim_c0f09884,基本尺寸:尺寸描述,E54_Dimension,口径14.8、高6.4厘米
type_eb5602f1,豆盘,E55_Type,
dim_4ee49565,基本尺寸:尺寸描述,E54_Dimension,口径17.6、残高4厘米
dim_58d4ef90,基本尺寸:尺寸描述,E54_Dimension,口径11.5、高15厘米
type_b0c7e701,双鼻壶,E55_Type,
dim_4020c265,基本尺寸:尺寸描述,E54_Dimension,口径5.2、高9厘米
dim_29058f27,基本尺寸:尺寸描述,E54_Dimension,口径6.3、高8.4厘米
type_86296f5a,杯,E55_Type,
dim_f21b1d65,基本尺寸:尺寸描述,E54_Dimension,口径9.5、高6厘米
dim_4953801d,基本尺寸:尺寸描述,E54_Dimension,口径6.2、高8厘米
dim_c47dd3bd,基本尺寸:尺寸描述,E54_Dimension,口径5.2、高6.5厘米
type_fd9d7ebd,盆,E55_Type,
dim_02fd0c5f,基本尺寸:尺寸描述,E54_Dimension,口径18、高4.6厘米
dim_de7b31ca,基本尺寸:尺寸描述,E54_Dimension,口径23.8、底径22、高2.8厘米
dim_1eeaad6a,基本尺寸:尺寸描述,E54_Dimension,口径35.6、高41.6厘米
mat_3b3920f4,泥质灰黄陶,E57_Material,
type_568c3ec8,纺轮,E55_Type,
dim_bb644daf,基本尺寸:尺寸描述,E54_Dimension,直径4.5、厚0.9厘米
mat_939cc989,泥质褐陶,E57_Material,
dim_c892a232,基本尺寸:尺寸描述,E54_Dimension,直径5、厚1.6厘米
mat_8f5833f9,粗泥质红陶,E57_Material,
dim_3dcea5bd,基本尺寸:尺寸描述,E54_Dimension,直径4.4、厚1厘米
type_bd87d9a6,侧扁足,E55_Type,
dim_8810e9a2,基本尺寸:尺寸描述,E54_Dimension,高14、厚1.2厘米
dim_cbc706af,基本尺寸:尺寸描述,E54_Dimension,高12.4、厚1.1厘米
dim_466d878f,基本尺寸:尺寸描述,E54_Dimension,高10.4、厚1.9厘米
dim_f0189a09,基本尺寸:尺寸描述,E54_Dimension,高13、厚1.2厘米
mat_f50251a7,夹砂灰陶,E57_Material,
dim_19899aac,基本尺寸:尺寸描述,E54_Dimension,高11.8、厚1.4厘米
dim_b2eb51c3,基本尺寸:尺寸描述,E54_Dimension,高11.2、厚2厘米
dim_19eebe40,基本尺寸:尺寸描述,E54_Dimension,高11、厚1.5厘米
dim_bac0412c,基本尺寸:尺寸描述,E54_Dimension,残高11.8、厚1.8厘米
dim_bae8e47d,基本尺寸:尺寸描述,E54_Dimension,高13.2、厚1.5厘米
dim_2fd4cd9f,基本尺寸:尺寸描述,E54_Dimension,残高12.4、厚2厘米
type_5c149fce,三角形侧扁足,E55_Type,
dim_98c805e4,基本尺寸:尺寸描述,E54_Dimension,高12.5、厚1.5厘米
type_7a625768,鱼鳍形鼎足,E55_Type,
dim_f94cd4a2,基本尺寸:尺寸描述,E54_Dimension,残高9.9、厚1.5厘米
dim_39901498,基本尺寸:尺寸描述,E54_Dimension,高10、厚0.8厘米
type_2e43a180,T形鼎足,E55_Type,
dim_c09e1d4a,基本尺寸:尺寸描述,E54_Dimension,残高9、厚0.5厘米
dim_63a9c5f8,基本尺寸:尺寸描述,E54_Dimension,残高18、厚1厘米
dim_a603b5e5,基本尺寸:尺寸描述,E54_Dimension,残高8.5、厚0.7厘米
type_00c82fb8,三角凿形足,E55_Type,
dim_fe272d0b,基本尺寸:尺寸描述,E54_Dimension,残高10.5、厚1.9厘米
type_01b542b0,凹弧足,E55_Type,
dim_53182ea2,基本尺寸:尺寸描述,E54_Dimension,残高5.3、厚1厘米
dim_f46f9941,基本尺寸:尺寸描述,E54_Dimension,残高5.6、厚1.7厘米
type_1fc5b813,圆锥足,E55_Type,
dim_005c807c,基本尺寸:尺寸描述,E54_Dimension,高9、直径1.5~2.2厘米
dim_0e5b1112,基本尺寸:尺寸描述,E54_Dimension,残高9.2、直径2.4厘米
type_acadbb1a,其他足,E55_Type,
dim_34ad195a,基本尺寸:尺寸描述,E54_Dimension,残高4.5、厚1.3厘米
dim_9d3761c0,基本尺寸:尺寸描述,E54_Dimension,残高10、厚2厘米
mat_dab9ddba,泥质红胎黑皮陶,E57_Material,
type_8c8fbd24,豆把,E55_Type,
dim_ac34156a,基本尺寸:尺寸描述,E54_Dimension,残高6.7厘米
type_c2b6e45d,杯把,E55_Type,
mat_bf41433a,根部局部夹砂,E57_Material,
dim_2d142625,基本尺寸:尺寸描述,E54_Dimension,残长5.5、宽2.5、厚0.9厘米
type_eafbece1,粘贴,E55_Type,
dim_40d7b868,基本尺寸:尺寸描述,E54_Dimension,残长7、宽3.2、厚1.8厘米
dim_62a137c4,基本尺寸:尺寸描述,E54_Dimension,残长9、宽3.5、厚1.8厘米
type_1ed97423,罐口沿残片,E55_Type,
dim_0cdffdd3,基本尺寸:尺寸描述,E54_Dimension,长7、宽6.8、厚1厘米
dim_ff3f7734,基本尺寸:尺寸描述,E54_Dimension,长6.5厘米
type_8b0a3ed5,陶片,E55_Type,
dim_489b3cb5,基本尺寸:尺寸描述,E54_Dimension,残长9、宽3.5、厚1.8厘米
dim_8314d712,基本尺寸:尺寸描述,E54_Dimension,长7、宽6.8、厚1厘米
dim_e3aa5729,基本尺寸:尺寸描述,E54_Dimension,长6.5、宽4、厚0.8厘米
type_e3f44010,戳点,E55_Type,
type_1954d25b,罐腹部残片,E55_Type,
dim_7f63fea4,基本尺寸:尺寸描述,E54_Dimension,长12、宽7.6、厚1厘米
mat_247850dd,泥质灰胎褐皮陶,E57_Material,
dim_1e490856,基本尺寸:尺寸描述,E54_Dimension,长7.8、宽5、厚0.7厘米
type_fb45b840,豆圈足残片,E55_Type,
dim_371e567b,基本尺寸:尺寸描述,E54_Dimension,长4、宽3.5、厚0.4厘米
type_23695d66,盆钵类口沿残片,E55_Type,
dim_0d06c237,基本尺寸:尺寸描述,E54_Dimension,长7.5、宽5.5、厚0.7厘米
type_ec798bd2,器腹残片,E55_Type,
dim_7435a9e7,基本尺寸:尺寸描述,E54_Dimension,长7.3、宽4.8、厚0.5厘米
mat_3cc235c7,泥质褐胎,E57_Material,
type_5f6eed9a,器底残片,E55_Type,
dim_960395b6,基本尺寸:尺寸描述,E54_Dimension,高7.4、宽7、厚0.9厘米
type_de98cdfd,动物形器盖纽,E55_Type,
dim_4f46f965,基本尺寸:尺寸描述,E54_Dimension,长6、通高4.5厘米
type_0f9836b8,器盖纽或器把,E55_Type,
type_d0693c82,钻芯,E55_Type,
dim_de95113c,基本尺寸:尺寸描述,E54_Dimension,直径2.8、厚0.55厘米
dim_f258fcdd,基本尺寸:尺寸描述,E54_Dimension,口径20.1、高16厘米
dim_2b430825,基本尺寸:尺寸描述,E54_Dimension,口径9.4、高12.4厘米
dim_e5bc67c7,基本尺寸:尺寸描述,E54_Dimension,口径12.8、残高11.6厘米
dim_2737a5a1,基本尺寸:尺寸描述,E54_Dimension,口径10、高9.4~9.8厘米
type_d7efbf1c,制作不规整,E55_Type,
type_c35512dd,圈足杯,E55_Type,
dim_752880db,基本尺寸:尺寸描述,E54_Dimension,口径7.2、高9.4、底径5.3厘米
dim_9bc19b73,基本尺寸:尺寸描述,E54_Dimension,口径19.6、高13.6厘米
type_0382a04f,鼎足,E55_Type,
dim_2b872889,基本尺寸:尺寸描述,E54_Dimension,高15.8厘米
type_08852216,戳划,E55_Type,
dim_6573b81e,基本尺寸:尺寸描述,E54_Dimension,高12厘米
dim_0480a52c,基本尺寸:尺寸描述,E54_Dimension,残高6.4厘米
dim_3870e9be,基本尺寸:尺寸描述,E54_Dimension,残高4.4厘米
type_7b57e10c,较细,E55_Type,
dim_f76e5cca,基本尺寸:尺寸描述,E54_Dimension,残高5.7厘米
dim_470d3aac,基本尺寸:尺寸描述,E54_Dimension,残高4厘米
dim_453e4e3a,基本尺寸:尺寸描述,E54_Dimension,残高7.5厘米
dim_f79d943e,基本尺寸:尺寸描述,E54_Dimension,残高4厘米
dim_c1cdc198,基本尺寸:尺寸描述,E54_Dimension,残高7.3厘米
dim_4db3dc1b,基本尺寸:尺寸描述,E54_Dimension,残高8.6厘米
type_b4f3c5db,楔形足,E55_Type,
dim_a0b2de50,基本尺寸:尺寸描述,E54_Dimension,残高10厘米
dim_363f48ea,基本尺寸:尺寸描述,E54_Dimension,残高5.4厘米
dim_022837e9,基本尺寸:尺寸描述,E54_Dimension,残高6.7厘米
dim_d7153982,基本尺寸:尺寸描述,E54_Dimension,残高5.3厘米
dim_b859d4c9,基本尺寸:尺寸描述,E54_Dimension,高11.7厘米
dim_2f5f3012,基本尺寸:尺寸描述,E54_Dimension,残高12.8厘米
dim_4c4e257a,基本尺寸:尺寸描述,E54_Dimension,残高7.2厘米
dim_361c1603,基本尺寸:尺寸描述,E54_Dimension,残高6.1厘米
dim_3cfa8289,基本尺寸:尺寸描述,E54_Dimension,残高7.8厘米
dim_e7327dfa,基本尺寸:尺寸描述,E54_Dimension,残高6.7厘米
dim_af03161e,基本尺寸:尺寸描述,E54_Dimension,残高6厘米
dim_43d7e1e2,基本尺寸:尺寸描述,E54_Dimension,口径23.2厘米
dim_52676456,基本尺寸:尺寸描述,E54_Dimension,残高6厘米
dim_47bfd408,基本尺寸:尺寸描述,E54_Dimension,残高9.5厘米
dim_5d3498eb,基本尺寸:尺寸描述,E54_Dimension,残高9.3厘米
dim_bd792473,基本尺寸:尺寸描述,E54_Dimension,残高8.2厘米
dim_bbc8958b,基本尺寸:尺寸描述,E54_Dimension,残高2.5厘米
type_a831ac16,圈足,E55_Type,
dim_34cf13df,基本尺寸:尺寸描述,E54_Dimension,残高2厘米
dim_de007e91,基本尺寸:尺寸描述,E54_Dimension,残高9.3厘米
dim_9a80664f,基本尺寸:尺寸描述,E54_Dimension,残高8.2厘米
dim_3096e48f,基本尺寸:尺寸描述,E54_Dimension,残高2.5厘米
type_745b63cc,鼎罐类口沿片,E55_Type,
dim_2bec3acd,基本尺寸:尺寸描述,E54_Dimension,口径29厘米
type_abafd4d2,罐口沿,E55_Type,
dim_1631feb5,基本尺寸:尺寸描述,E54_Dimension,口径26厘米
dim_e18bc9af,基本尺寸:尺寸描述,E54_Dimension,口径23厘米
type_c1b71fea,罐口沿片,E55_Type,
type_5fed6992,盆钵类口沿片,E55_Type,
type_6c0def4f,器把,E55_Type,
type_c4b619a7,划纹,E55_Type,
type_1ba3429c,缸片,E55_Type,
mat_2d49cbe8,灰胎,E57_Material,
type_daf742fb,韩瓶,E55_Type,
dim_aab4b41c,基本尺寸:尺寸描述,E54_Dimension,通高22.3、口径8.1、底径7.1厘米
mat_9088451f,褐胎,E57_Material,
type_213a5ff2,葵口碗,E55_Type,
dim_a2a6601e,基本尺寸:尺寸描述,E54_Dimension,高6.5、口径13、足径4.4厘米
mat_ab80c6a6,灰白胎,E57_Material,
type_2358eb47,青瓷碗,E55_Type,
dim_cacb8f16,基本尺寸:尺寸描述,E54_Dimension,高6、口径16.2、底径7.2厘米
mat_f0b7509e,黑灰粗胎,E57_Material,
type_459198db,瓷罐,E55_Type,
dim_76ca72cf,基本尺寸:尺寸描述,E54_Dimension,高11.2、口径7.2、底径8.4厘米
mat_0432d642,灰褐胎,E57_Material,
type_bdcc9668,酱釉双耳罐,E55_Type,
dim_dc369f28,基本尺寸:尺寸描述,E54_Dimension,高 20.8、口径 9.8、底径 9.8 厘米
type_91c80b26,刮削,E55_Type,
mat_5b9bdbdd,红褐胎,E57_Material,
type_78d739c7,四系罐,E55_Type,
dim_522590f0,基本尺寸:尺寸描述,E54_Dimension,高22、口径9.3、底径9.5厘米
mat_08fe3702,暗褐胎,E57_Material,
type_f827f80a,酱釉罐,E55_Type,
dim_6586e08d,基本尺寸:尺寸描述,E54_Dimension,高 12.6、口径 8.2、底径 8.4 厘米
type_15474fb9,酱釉灯盏,E55_Type,
dim_f8e4d0dd,基本尺寸:尺寸描述,E54_Dimension,高 3.5、口径 12、底径 6.3 厘米
dim_7cb0117b,基本尺寸:尺寸描述,E54_Dimension,高 5.5、口径 15.7、底径 7.5 厘米
type_6ec88223,罐形,E55_Type,
dim_0efc4bc6,基本尺寸:尺寸描述,E54_Dimension,口径11、高14.7厘米
dim_c8bace65,基本尺寸:尺寸描述,E54_Dimension,口径13、高11.8、圈足径11厘米
dim_77e2662e,基本尺寸:尺寸描述,E54_Dimension,口径13、高8.4、圈足径9厘米
dim_7d63824f,基本尺寸:尺寸描述,E54_Dimension,口径18.4、高6、圈足径6.5厘米
