ID,task_id,site_id,period_id,structure_id,文物编号,器型,subtype_level1,subtype_level2,subtype_level3,basic_shape,原始出土地点,出土区域,出土单位,出土层位,出土墓葬,陶土类型,纯洁度,细腻度,掺杂物,颜色,硬度,烧成温度,器型特征,器物组合,尺寸描述,量度信息,高度(cm),口径(cm),厚度(cm),功能,成型工艺,修整技术,surface_treatment,装饰手法,纹饰类型,制作活动,制作者,制作年代,制作地点,excavation_activity,保存状况,完整程度,有图片,main_image_id,source_text_blocks,raw_attributes,cidoc_attributes,extraction_confidence,created_at,updated_at
12,task_20251202_024347_4869,1,,,M23:210,盘,,,,,反山十二号墓,反山,M23,,M23,泥质褐胎黑皮陶,,,,黑皮,,,折腹，粗矮圈足，外壁饰三周凸弦纹,,通高约7.3、口径约24.5厘米,,7.3,24.5,,,,,,刻划,凸弦纹,,,,,,,,0,,[0],"{""artifact_code"": ""M23:210"", ""subtype"": ""盘"", ""clay_type"": ""泥质褐胎黑皮陶"", ""clay_purity"": null, ""clay_fineness"": null, ""mixed_materials"": null, ""color"": ""黑皮"", ""hardness"": null, ""firing_temperature"": null, ""shape_features"": ""折腹，粗矮圈足，外壁饰三周凸弦纹"", ""vessel_combination"": null, ""dimensions"": ""通高约7.3、口径约24.5厘米"", ""height"": 7.3, ""diameter"": 24.5, ""thickness"": null, ""function"": null, ""forming_technique"": null, ""finishing_technique"": null, ""surface_treatment"": null, ""decoration_method"": ""刻划"", ""decoration_type"": ""凸弦纹"", ""production_activity"": null, ""maker"": null, ""production_date"": null, ""production_location"": null, ""excavation_location"": ""反山十二号墓"", ""ex_region"": ""反山"", ""ex_unit"": ""M23"", ""ex_layer"": null, ""location_unit"": null, ""image_references"": [""图二七八"", ""彩图1218""]}",{},0.8,2025-12-01 18:52:00,2025-12-01 19:24:49
13,task_20251202_024347_4869,1,,,M23:208,陶过滤器,,,,,反山十二号墓,反山,M23,,M23,夹砂黑胎黑皮陶,,,砂,黑皮,,,敞口、稍折腹、加大圈足的钵形容器，口沿的一侧直接安一件冲天浅圜底小钵，钵底镂一小孔,,通高约11、过滤钵直径约5、过滤器直径12~12.5厘米，过滤竿长约3.5厘米,,11.0,12.5,,,,,,,,,,,,,,,0,,[0],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""反山"", ""subtype"": ""陶过滤器"", ""image_references"": ""[] | ['图二七八', '彩图1219']"", ""dimensions"": ""通高约11、过滤钵直径约5、过滤器直径12~12.5厘米，过滤竿长约3.5厘米"", ""height"": 11, ""location_unit"": null, ""excavation_location"": ""反山十二号墓"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""夹砂黑胎黑皮陶"", ""ex_unit"": ""M23"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": null, ""artifact_code"": ""M23:208"", ""ex_layer"": null, ""function"": null, ""clay_fineness"": null, ""color"": ""黑皮"", ""vessel_combination"": null, ""shape_features"": ""敞口、稍折腹、加大圈足的钵形容器，口沿的一侧直接安一件冲天浅圜底小钵，钵底镂一小孔"", ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": 12.5, ""thickness"": null, ""mixed_materials"": ""砂""}",{},0.8,2025-12-01 18:52:00,2025-12-01 19:24:49
14,task_20251202_024347_4869,1,,,M23:169,,,,,,反山M23,反山,M23,,M23,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,[0],"{""artifact_code"": ""M23:169"", ""subtype"": null, ""clay_type"": null, ""clay_purity"": null, ""clay_fineness"": null, ""mixed_materials"": null, ""color"": null, ""hardness"": null, ""firing_temperature"": null, ""shape_features"": null, ""vessel_combination"": null, ""dimensions"": null, ""height"": null, ""diameter"": null, ""thickness"": null, ""function"": null, ""forming_technique"": null, ""finishing_technique"": null, ""surface_treatment"": null, ""decoration_method"": null, ""decoration_type"": null, ""production_activity"": null, ""maker"": null, ""production_date"": null, ""production_location"": null, ""excavation_location"": ""反山M23"", ""ex_region"": ""反山"", ""ex_unit"": ""M23"", ""ex_layer"": null, ""location_unit"": null, ""image_references"": [], ""measurements"": null}",{},0.8,2025-12-01 18:52:00,2025-12-01 18:52:00
15,task_20251202_024347_6890,3,,,M1:24,豆,,,,,瑶山一号墓,瑶山,M1,,M1,泥质灰陶,,,,,,,喇叭形圈足,,,,,,,,,,,,,,,,,,,,0,,[0],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""瑶山"", ""subtype"": ""豆"", ""image_references"": [], ""dimensions"": null, ""height"": null, ""location_unit"": null, ""excavation_location"": ""瑶山一号墓"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""泥质灰陶"", ""ex_unit"": ""M1"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": null, ""artifact_code"": ""M1:24"", ""ex_layer"": null, ""function"": null, ""clay_fineness"": null, ""color"": null, ""vessel_combination"": null, ""shape_features"": ""喇叭形圈足"", ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": null, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 19:11:51,2025-12-01 19:11:51
16,task_20251202_024347_6890,3,,,M1:25,缸,,,,,瑶山一号墓,瑶山,M1,,M1,夹粗砂红陶,,,,,,,,,,,,,,,,,,,粗篮纹,,,,,,,,0,,[0],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""瑶山"", ""subtype"": ""缸"", ""image_references"": [], ""dimensions"": null, ""height"": null, ""location_unit"": null, ""excavation_location"": ""瑶山一号墓"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""夹粗砂红陶"", ""ex_unit"": ""M1"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": ""粗篮纹"", ""artifact_code"": ""M1:25"", ""ex_layer"": null, ""function"": null, ""clay_fineness"": null, ""color"": null, ""vessel_combination"": null, ""shape_features"": null, ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": null, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 19:11:51,2025-12-01 19:11:51
17,task_20251202_024347_6890,3,,,M1:26,泥质灰陶器,,,,,瑶山一号墓,瑶山,M1,,M1,泥质灰陶,,,,灰,,,,,,,,,,,,,,,,,,,,,,,0,,[0],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""瑶山"", ""subtype"": ""泥质灰陶器"", ""image_references"": [], ""dimensions"": null, ""height"": null, ""location_unit"": null, ""excavation_location"": ""瑶山一号墓"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""泥质灰陶"", ""ex_unit"": ""M1"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": null, ""artifact_code"": ""M1:26"", ""ex_layer"": null, ""function"": null, ""clay_fineness"": null, ""color"": ""灰"", ""vessel_combination"": null, ""shape_features"": null, ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": null, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 19:11:51,2025-12-01 19:11:51
18,task_20251202_024347_6890,3,,,M1:27,鼎,,,,,瑶山一号墓,瑶山,M1,,M1,夹砂红陶,,,,,,,侈口，圆唇，沿面平直，鱼鳍形鼎足，横断面扁圆，中部厚而边侧薄，外侧略平直,,,,,,,,,,,,,,,,,,,,0,,[0],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""瑶山"", ""subtype"": ""鼎"", ""image_references"": ""[] | ['图三O']"", ""dimensions"": null, ""height"": null, ""location_unit"": null, ""excavation_location"": ""瑶山一号墓"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""夹砂红陶"", ""ex_unit"": ""M1"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": null, ""artifact_code"": ""M1:27"", ""ex_layer"": null, ""function"": null, ""clay_fineness"": null, ""color"": null, ""vessel_combination"": null, ""shape_features"": ""侈口，圆唇，沿面平直，鱼鳍形鼎足，横断面扁圆，中部厚而边侧薄，外侧略平直"", ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": null, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 19:11:52,2025-12-01 19:11:52
19,task_20251202_024347_6890,3,,,M2:34,豆,,,,豆,瑶山十二号墓,瑶山,M12,,M2,泥质灰胎黑皮陶,,,,,,,仅余豆柄,,豆柄外径9.6厘米,,,9.6,,,,,,,,,,,,,,,0,,[11],"{""clay_purity"": null, ""production_location"": null, ""measurements"": null, ""firing_temperature"": null, ""ex_region"": ""瑶山"", ""subtype"": ""豆"", ""image_references"": ""[] | ['图五〇']"", ""dimensions"": ""豆柄外径9.6厘米"", ""height"": null, ""location_unit"": null, ""excavation_location"": ""瑶山十二号墓"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""泥质灰胎黑皮陶"", ""ex_unit"": ""M12"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": null, ""excavation_activity"": null, ""artifact_code"": ""M2:34"", ""ex_layer"": null, ""function"": null, ""clay_fineness"": null, ""color"": null, ""vessel_combination"": null, ""basic_shape"": ""豆"", ""shape_features"": ""仅余豆柄"", ""production_period"": null, ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": 9.6, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 19:11:52,2025-12-01 19:11:52
20,task_20251202_024347_6890,3,,,M2:35,圈足罐,,,,,瑶山二号墓,瑶山,M2,,M2,夹砂红陶,,,,,,,均为碎片，无法确认形态,,,,,,,,,,,,,,,,,,,,0,,[1],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""瑶山"", ""subtype"": ""圈足罐"", ""image_references"": [], ""dimensions"": null, ""height"": null, ""location_unit"": null, ""excavation_location"": ""瑶山二号墓"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""夹砂红陶"", ""ex_unit"": ""M2"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": null, ""artifact_code"": ""M2:35"", ""ex_layer"": null, ""function"": null, ""clay_fineness"": null, ""color"": null, ""vessel_combination"": null, ""shape_features"": ""均为碎片，无法确认形态"", ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": null, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 19:11:52,2025-12-01 19:11:52
21,task_20251202_024347_6890,3,,,M2:36,鼎,,,,,瑶山二号墓,瑶山,M2,,M2,夹砂红陶,,,,,,,矮鱼鳍形鼎足，横断面较扁，外侧平直，略厚于内侧，内侧折角圆弧,,,,,,,,,,,,,,,,,,,,0,,[1],"{""clay_purity"": null, ""production_location"": null, ""firing_temperature"": null, ""ex_region"": ""瑶山"", ""subtype"": ""鼎"", ""image_references"": ""[] | ['图五○']"", ""dimensions"": null, ""height"": null, ""location_unit"": null, ""excavation_location"": ""瑶山二号墓"", ""decoration_method"": null, ""production_date"": null, ""surface_treatment"": null, ""clay_type"": ""夹砂红陶"", ""ex_unit"": ""M2"", ""forming_technique"": null, ""finishing_technique"": null, ""decoration_type"": null, ""artifact_code"": ""M2:36"", ""ex_layer"": null, ""function"": null, ""clay_fineness"": null, ""color"": null, ""vessel_combination"": null, ""shape_features"": ""矮鱼鳍形鼎足，横断面较扁，外侧平直，略厚于内侧，内侧折角圆弧"", ""hardness"": null, ""production_activity"": null, ""maker"": null, ""diameter"": null, ""thickness"": null, ""mixed_materials"": null}",{},0.8,2025-12-01 19:11:52,2025-12-01 19:11:52
