ID,文物类型,文物ID,mapping_id,关系谓词,属性值,置信度,created_at
44,pottery,13,65,P53 has former or current location,M23,0.8,2025-12-01 18:52:00
45,pottery,13,60,P1\text{ is identified by},M23:208,0.8,2025-12-01 18:52:00
46,pottery,14,60,P1\text{ is identified by},M23:169,0.8,2025-12-01 18:52:00
47,pottery,14,65,P53 has former or current location,反山M23,0.8,2025-12-01 18:52:00
48,pottery,15,65,P53 has former or current location,瑶山一号墓,0.8,2025-12-01 19:11:51
49,pottery,15,45,P45 consists of (由...组成),泥质灰陶,0.8,2025-12-01 19:11:51
50,pottery,15,60,P1\text{ is identified by},M1:24,0.8,2025-12-01 19:11:51
51,pottery,15,52,P46 is composed of (由...构成),喇叭形圈足,0.8,2025-12-01 19:11:51
52,pottery,16,65,P53 has former or current location,瑶山一号墓,0.8,2025-12-01 19:11:51
53,pottery,16,45,P45 consists of (由...组成),夹粗砂红陶,0.8,2025-12-01 19:11:51
54,pottery,16,59,P65 shows visual item (展示视觉项),粗篮纹,0.8,2025-12-01 19:11:51
55,pottery,16,60,P1\text{ is identified by},M1:25,0.8,2025-12-01 19:11:51
56,pottery,17,65,P53 has former or current location,瑶山一号墓,0.8,2025-12-01 19:11:51
57,pottery,17,45,P45 consists of (由...组成),泥质灰陶,0.8,2025-12-01 19:11:51
58,pottery,17,60,P1\text{ is identified by},M1:26,0.8,2025-12-01 19:11:51
59,pottery,18,65,P53 has former or current location,瑶山一号墓,0.8,2025-12-01 19:11:52
60,pottery,18,45,P45 consists of (由...组成),夹砂红陶,0.8,2025-12-01 19:11:52
61,pottery,18,60,P1\text{ is identified by},M1:27,0.8,2025-12-01 19:11:52
62,pottery,18,52,P46 is composed of (由...构成),侈口，圆唇，沿面平直，鱼鳍形鼎足，横断面扁圆，中部厚而边侧薄，外侧略平直,0.8,2025-12-01 19:11:52
63,pottery,19,54,P43 has dimension (具有量度),豆柄外径9.6厘米,0.8,2025-12-01 19:11:52
64,pottery,19,65,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 19:11:52
65,pottery,19,45,P45 consists of (由...组成),泥质灰胎黑皮陶,0.8,2025-12-01 19:11:52
66,pottery,19,60,P1\text{ is identified by},M2:34,0.8,2025-12-01 19:11:52
67,pottery,19,51,P2 has type (是类型),豆,0.8,2025-12-01 19:11:52
68,pottery,19,52,P46 is composed of (由...构成),仅余豆柄,0.8,2025-12-01 19:11:52
69,pottery,20,65,P53 has former or current location,瑶山二号墓,0.8,2025-12-01 19:11:52
70,pottery,20,45,P45 consists of (由...组成),夹砂红陶,0.8,2025-12-01 19:11:52
71,pottery,20,60,P1\text{ is identified by},M2:35,0.8,2025-12-01 19:11:52
72,pottery,20,52,P46 is composed of (由...构成),均为碎片，无法确认形态,0.8,2025-12-01 19:11:52
73,pottery,21,65,P53 has former or current location,瑶山二号墓,0.8,2025-12-01 19:11:52
74,pottery,21,45,P45 consists of (由...组成),夹砂红陶,0.8,2025-12-01 19:11:52
75,pottery,21,60,P1\text{ is identified by},M2:36,0.8,2025-12-01 19:11:52
76,pottery,21,52,P46 is composed of (由...构成),矮鱼鳍形鼎足，横断面较扁，外侧平直，略厚于内侧，内侧折角圆弧,0.8,2025-12-01 19:11:52
77,pottery,22,65,P53 has former or current location,瑶山二号墓,0.8,2025-12-01 19:11:52
78,pottery,22,45,P45 consists of (由...组成),泥质灰胎黑皮陶,0.8,2025-12-01 19:11:52
79,pottery,22,60,P1\text{ is identified by},M2:62,0.8,2025-12-01 19:11:52
80,pottery,22,52,P46 is composed of (由...构成),均为细小碎片，无法确认形态,0.8,2025-12-01 19:11:52
81,pottery,23,65,P53 has former or current location,瑶山三号墓,0.8,2025-12-01 19:11:52
82,pottery,23,45,P45 consists of (由...组成),夹砂红褐陶,0.8,2025-12-01 19:11:52
83,pottery,23,60,P1\text{ is identified by},M3:49,0.8,2025-12-01 19:11:52
84,pottery,23,55,P103 was intended for (被意图用于),炊煮,0.8,2025-12-01 19:11:52
85,pottery,23,53,P46 is composed of (或者反向 P46),鼎1,0.8,2025-12-01 19:11:52
86,pottery,23,52,P46 is composed of (由...构成),侈口，沿面微内凹，鱼鳍形足 | 侈口，沿面微内凹，鱼鳍形鼎足，足横断面扁，外侧平直，略厚于内侧,0.8,2025-12-01 19:11:52
87,pottery,23,48,P45 consists of (由...组成),砂,0.8,2025-12-01 19:11:52
88,pottery,24,54,P43 has dimension (具有量度),口径约18厘米,0.8,2025-12-01 19:11:52
89,pottery,24,65,P53 has former or current location,瑶山三号墓,0.8,2025-12-01 19:11:52
90,pottery,24,45,P45 consists of (由...组成),泥质灰陶,0.8,2025-12-01 19:11:52
91,pottery,24,60,P1\text{ is identified by},M3:43,0.8,2025-12-01 19:11:52
92,pottery,24,55,P103 was intended for (被意图用于),盛储,0.8,2025-12-01 19:11:52
93,pottery,24,53,P46 is composed of (或者反向 P46),豆1,0.8,2025-12-01 19:11:52
94,pottery,24,52,P46 is composed of (由...构成),侈口，盘壁微敞，盘底平，圈足 | 侈口，盘壁微敞，盘底平，圈足上留有黑皮,0.8,2025-12-01 19:11:52
95,pottery,25,65,P53 has former or current location,瑶山三号墓,0.8,2025-12-01 19:11:52
96,pottery,25,45,P45 consists of (由...组成),夹砂红陶,0.8,2025-12-01 19:11:52
97,pottery,25,60,P1\text{ is identified by},M3:50,0.8,2025-12-01 19:11:52
98,pottery,25,53,P46 is composed of (或者反向 P46),圈足罐1,0.8,2025-12-01 19:11:52
99,pottery,25,52,P46 is composed of (由...构成),仅可辨明圈足,0.8,2025-12-01 19:11:52
100,pottery,25,48,P45 consists of (由...组成),砂,0.8,2025-12-01 19:11:52
101,pottery,26,65,P53 has former or current location,瑶山三号墓,0.8,2025-12-01 19:11:52
102,pottery,26,45,P45 consists of (由...组成),夹粗砂红陶,0.8,2025-12-01 19:11:52
103,pottery,26,60,P1\text{ is identified by},M3:45,0.8,2025-12-01 19:11:52
104,pottery,26,53,P46 is composed of (或者反向 P46),缸1,0.8,2025-12-01 19:11:52
105,pottery,26,52,P46 is composed of (由...构成),无法辨明器形,0.8,2025-12-01 19:11:52
106,pottery,26,48,P45 consists of (由...组成),粗砂,0.8,2025-12-01 19:11:52
107,pottery,27,54,P43 has dimension (具有量度),高12.9、口径25.2、足径19.4厘米,0.8,2025-12-01 19:11:52
108,pottery,27,65,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 19:11:52
109,pottery,27,45,P45 consists of (由...组成),泥质灰胎黑皮陶,0.8,2025-12-01 19:11:52
110,pottery,27,59,P65 shows visual item (展示视觉项),凹弦纹,0.8,2025-12-01 19:11:52
111,pottery,27,60,P1\text{ is identified by},M4:38,0.8,2025-12-01 19:11:52
112,pottery,27,51,P2 has type (是类型),豆,0.8,2025-12-01 19:11:52
113,pottery,27,52,P46 is composed of (由...构成),侈口，盘壁折，喇叭形圈足,0.8,2025-12-01 19:11:52
114,pottery,28,65,P53 has former or current location,瑶山四号墓,0.8,2025-12-01 19:11:52
115,pottery,28,45,P45 consists of (由...组成),夹砂红陶,0.8,2025-12-01 19:11:52
116,pottery,28,60,P1\text{ is identified by},M4:39,0.8,2025-12-01 19:11:52
117,pottery,29,65,P53 has former or current location,瑶山四号墓,0.8,2025-12-01 19:11:52
118,pottery,29,45,P45 consists of (由...组成),泥质灰胎，外胎为橙黄色,0.8,2025-12-01 19:11:52
119,pottery,29,57,P108 was produced by (已产出),磨光,0.8,2025-12-01 19:11:52
120,pottery,29,60,P1\text{ is identified by},M4:40,0.8,2025-12-01 19:11:52
121,pottery,30,65,P53 has former or current location,瑶山四号墓,0.8,2025-12-01 19:11:52
122,pottery,30,45,P45 consists of (由...组成),夹砂红褐陶,0.8,2025-12-01 19:11:52
123,pottery,30,60,P1\text{ is identified by},M4:41,0.8,2025-12-01 19:11:52
124,pottery,30,52,P46 is composed of (由...构成),鼓腹，圜底近平，鱼鳍形足,0.8,2025-12-01 19:11:52
125,pottery,31,65,P53 has former or current location,瑶山四号墓,0.8,2025-12-01 19:11:52
126,pottery,31,45,P45 consists of (由...组成),夹粗砂褐胎,0.8,2025-12-01 19:11:52
127,pottery,31,59,P65 shows visual item (展示视觉项),斜向篮纹,0.8,2025-12-01 19:11:52
128,pottery,31,60,P1\text{ is identified by},M4:42,0.8,2025-12-01 19:11:52
129,pottery,31,52,P46 is composed of (由...构成),直口，尖唇，近底部胎较厚,0.8,2025-12-01 19:11:52
130,pottery,31,48,P45 consists of (由...组成),粗砂,0.8,2025-12-01 19:11:52
131,pottery,32,65,P53 has former or current location,瑶山四号墓,0.8,2025-12-01 19:11:52
132,pottery,32,45,P45 consists of (由...组成),泥质灰陶,0.8,2025-12-01 19:11:52
133,pottery,32,60,P1\text{ is identified by},M4:43,0.8,2025-12-01 19:11:52
134,pottery,33,54,P43 has dimension (具有量度),高6、口径25.8、底径11.2厘米,0.8,2025-12-01 19:11:52
135,pottery,33,65,P53 has former or current location,瑶山四号墓,0.8,2025-12-01 19:11:52
136,pottery,33,45,P45 consists of (由...组成),泥质橙红胎黑皮陶,0.8,2025-12-01 19:11:52
137,pottery,33,60,P1\text{ is identified by},M4:45,0.8,2025-12-01 19:11:52
138,pottery,33,52,P46 is composed of (由...构成),宽沿，沿面弧凸，浅弧腹，平底，假圈足,0.8,2025-12-01 19:11:52
139,pottery,34,60,P1\text{ is identified by},M5:11,0.8,2025-12-01 19:11:52
140,pottery,34,45,P45 consists of (由...组成),夹砂红褐陶,0.8,2025-12-01 19:11:52
141,pottery,34,48,P45 consists of (由...组成),砂,0.8,2025-12-01 19:11:52
142,pottery,34,52,P46 is composed of (由...构成),侈口，斜唇，鱼鳍形鼎足，横断面呈扁圆形,0.8,2025-12-01 19:11:52
143,pottery,34,65,P53 has former or current location,瑶山五号墓,0.8,2025-12-01 19:11:52
144,pottery,35,60,P1\text{ is identified by},M5:12,0.8,2025-12-01 19:11:52
145,pottery,35,45,P45 consists of (由...组成),泥质灰胎黑皮陶,0.8,2025-12-01 19:11:52
146,pottery,35,58,P108 was produced by (已产出),彩绘,0.8,2025-12-01 19:11:52
147,pottery,35,59,P65 shows visual item (展示视觉项),朱色彩绘,0.8,2025-12-01 19:11:52
148,pottery,35,65,P53 has former or current location,瑶山五号墓,0.8,2025-12-01 19:11:52
149,pottery,36,60,P1\text{ is identified by},M5:10,0.8,2025-12-01 19:11:52
150,pottery,36,45,P45 consists of (由...组成),泥质陶,0.8,2025-12-01 19:11:52
151,pottery,36,65,P53 has former or current location,瑶山五号墓,0.8,2025-12-01 19:11:52
152,pottery,37,65,P53 has former or current location,瑶山六号墓,0.8,2025-12-01 19:11:52
153,pottery,37,45,P45 consists of (由...组成),泥质橙红陶,0.8,2025-12-01 19:11:52
154,pottery,37,60,P1\text{ is identified by},M6:17,0.8,2025-12-01 19:11:52
155,pottery,37,52,P46 is composed of (由...构成),浅腹，折壁,0.8,2025-12-01 19:11:52
156,pottery,38,65,P53 has former or current location,瑶山六号墓,0.8,2025-12-01 19:11:52
157,pottery,38,45,P45 consists of (由...组成),夹细砂红陶,0.8,2025-12-01 19:11:52
158,pottery,38,60,P1\text{ is identified by},M6:18,0.8,2025-12-01 19:11:52
159,pottery,38,52,P46 is composed of (由...构成),带鸡冠状鳖耳，残甚，无法辨明器形,0.8,2025-12-01 19:11:52
160,pottery,38,48,P45 consists of (由...组成),细砂,0.8,2025-12-01 19:11:52
161,pottery,39,65,P53 has former or current location,瑶山六号墓,0.8,2025-12-01 19:11:52
162,pottery,39,45,P45 consists of (由...组成),夹砂红褐陶,0.8,2025-12-01 19:11:52
163,pottery,39,60,P1\text{ is identified by},M6:19,0.8,2025-12-01 19:11:52
164,pottery,39,52,P46 is composed of (由...构成),侈口，沿面微内凹，鼎足为鱼鳍形，断面外侧平直,0.8,2025-12-01 19:11:52
165,pottery,39,48,P45 consists of (由...组成),砂,0.8,2025-12-01 19:11:52
166,pottery,40,65,P53 has former or current location,瑶山六号墓,0.8,2025-12-01 19:11:52
167,pottery,40,45,P45 consists of (由...组成),夹砂红陶,0.8,2025-12-01 19:11:52
168,pottery,40,60,P1\text{ is identified by},M6:20,0.8,2025-12-01 19:11:52
169,pottery,40,52,P46 is composed of (由...构成),极破碎，无法辨明器形,0.8,2025-12-01 19:11:52
170,pottery,40,48,P45 consists of (由...组成),砂,0.8,2025-12-01 19:11:52
171,pottery,41,65,P53 has former or current location,瑶山七号墓,0.8,2025-12-01 19:11:52
172,pottery,41,45,P45 consists of (由...组成),夹砂红褐陶,0.8,2025-12-01 19:11:52
173,pottery,41,57,P108 was produced by (已产出),磨光,0.8,2025-12-01 19:11:52
174,pottery,41,60,P1\text{ is identified by},M7:156,0.8,2025-12-01 19:11:52
175,pottery,41,52,P46 is composed of (由...构成),鱼鳍形鼎足,0.8,2025-12-01 19:11:52
176,pottery,42,65,P53 has former or current location,瑶山七号墓,0.8,2025-12-01 19:11:52
177,pottery,42,45,P45 consists of (由...组成),夹粗砂陶,0.8,2025-12-01 19:11:52
178,pottery,42,60,P1\text{ is identified by},M7:158,0.8,2025-12-01 19:11:52
179,pottery,43,65,P53 has former or current location,瑶山七号墓,0.8,2025-12-01 19:11:52
180,pottery,43,45,P45 consists of (由...组成),夹砂红陶,0.8,2025-12-01 19:11:52
181,pottery,43,60,P1\text{ is identified by},M7:159,0.8,2025-12-01 19:11:52
182,pottery,44,65,P53 has former or current location,瑶山七号墓,0.8,2025-12-01 19:11:52
183,pottery,44,45,P45 consists of (由...组成),泥质陶,0.8,2025-12-01 19:11:52
184,pottery,44,57,P108 was produced by (已产出),磨光,0.8,2025-12-01 19:11:52
185,pottery,44,60,P1\text{ is identified by},M7:160,0.8,2025-12-01 19:11:52
186,pottery,45,65,P53 has former or current location,瑶山八号墓,0.8,2025-12-01 19:11:52
187,pottery,45,45,P45 consists of (由...组成),泥质陶,0.8,2025-12-01 19:11:52
188,pottery,45,60,P1\text{ is identified by},M8:39,0.8,2025-12-01 19:11:52
189,pottery,45,52,P46 is composed of (由...构成),喇叭形圈足,0.8,2025-12-01 19:11:52
190,pottery,46,65,P53 has former or current location,瑶山八号墓,0.8,2025-12-01 19:11:52
191,pottery,46,45,P45 consists of (由...组成),夹细砂红褐陶,0.8,2025-12-01 19:11:52
192,pottery,46,60,P1\text{ is identified by},M8:40,0.8,2025-12-01 19:11:52
193,pottery,47,65,P53 has former or current location,瑶山八号墓,0.8,2025-12-01 19:11:52
194,pottery,47,45,P45 consists of (由...组成),夹砂红陶,0.8,2025-12-01 19:11:52
195,pottery,47,59,P65 shows visual item (展示视觉项),篮纹,0.8,2025-12-01 19:11:52
196,pottery,47,60,P1\text{ is identified by},M8:41,0.8,2025-12-01 19:11:52
197,pottery,48,65,P53 has former or current location,瑶山八号墓,0.8,2025-12-01 19:11:52
198,pottery,48,45,P45 consists of (由...组成),夹砂陶,0.8,2025-12-01 19:11:52
199,pottery,48,60,P1\text{ is identified by},M8:42,0.8,2025-12-01 19:11:52
200,pottery,48,52,P46 is composed of (由...构成),鱼鳍形足，外侧平且略厚,0.8,2025-12-01 19:11:52
201,pottery,49,54,P43 has dimension (具有量度),高18.4、口径14.8厘米,0.8,2025-12-01 19:11:52
202,pottery,49,65,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 19:11:52
203,pottery,49,45,P45 consists of (由...组成),夹细砂陶,0.8,2025-12-01 19:11:52
204,pottery,49,60,P1\text{ is identified by},M9:79,0.8,2025-12-01 19:11:52
205,pottery,49,47,E55 Type,细砂,0.8,2025-12-01 19:11:52
206,pottery,49,52,P46 is composed of (由...构成),侈口，沿面内凹，鼓腹，圜底，扁鱼鳍形足,0.8,2025-12-01 19:11:52
207,pottery,50,54,P43 has dimension (具有量度),高10.3、口径21.8、足径18.6厘米,0.8,2025-12-01 19:11:52
208,pottery,50,65,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 19:11:52
209,pottery,50,58,P108 was produced by (已产出),刻划,0.8,2025-12-01 19:11:52
210,pottery,50,45,P45 consists of (由...组成),泥质灰陶,0.8,2025-12-01 19:11:52
211,pottery,50,59,P65 shows visual item (展示视觉项),凹弦纹，凹弧边三角形和圆形未透镂孔组成的纹带,0.8,2025-12-01 19:11:52
212,pottery,50,60,P1\text{ is identified by},M9:80,0.8,2025-12-01 19:11:52
213,pottery,50,52,P46 is composed of (由...构成),侈口，斜唇，盘腹外侧微折，喇叭形矮圈足,0.8,2025-12-01 19:11:52
214,pottery,51,65,P53 has former or current location,瑶山九号墓,0.8,2025-12-01 19:11:52
215,pottery,51,45,P45 consists of (由...组成),夹砂红陶,0.8,2025-12-01 19:11:52
216,pottery,51,57,P108 was produced by (已产出),磨光,0.8,2025-12-01 19:11:52
217,pottery,51,60,P1\text{ is identified by},M9:81,0.8,2025-12-01 19:11:52
218,pottery,51,52,P46 is composed of (由...构成),侈口，沿面斜直,0.8,2025-12-01 19:11:52
219,pottery,52,54,P43 has dimension (具有量度),高32.4、口径32~33.5厘米,0.8,2025-12-01 19:11:52
220,pottery,52,65,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 19:11:52
221,pottery,52,45,P45 consists of (由...组成),夹粗砂红陶,0.8,2025-12-01 19:11:52
222,pottery,52,60,P1\text{ is identified by},M9:82,0.8,2025-12-01 19:11:52
223,pottery,52,47,E55 Type,粗砂,0.8,2025-12-01 19:11:52
224,pottery,52,52,P46 is composed of (由...构成),尖唇，深腹，圜底近平,0.8,2025-12-01 19:11:52
225,pottery,53,54,P43 has dimension (具有量度),口径20.4厘米,0.8,2025-12-01 19:11:52
226,pottery,53,65,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 19:11:52
227,pottery,53,58,P108 was produced by (已产出),刻划,0.8,2025-12-01 19:11:52
228,pottery,53,45,P45 consists of (由...组成),泥质陶,0.8,2025-12-01 19:11:52
229,pottery,53,59,P65 shows visual item (展示视觉项),凹弦纹,0.8,2025-12-01 19:11:52
230,pottery,53,60,P1\text{ is identified by},M10:82,0.8,2025-12-01 19:11:52
231,pottery,53,52,P46 is composed of (由...构成),圆唇，盘壁较直,0.8,2025-12-01 19:11:52
232,pottery,54,65,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 19:11:52
233,pottery,54,45,P45 consists of (由...组成),夹粗砂陶,0.8,2025-12-01 19:11:52
234,pottery,54,59,P65 shows visual item (展示视觉项),素面,0.8,2025-12-01 19:11:52
235,pottery,54,60,P1\text{ is identified by},M10:83,0.8,2025-12-01 19:11:52
236,pottery,54,48,P45 consists of (由...组成),粗砂,0.8,2025-12-01 19:11:52
237,pottery,55,65,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 19:11:52
238,pottery,55,45,P45 consists of (由...组成),夹砂红褐陶,0.8,2025-12-01 19:11:52
239,pottery,55,60,P1\text{ is identified by},M10:84,0.8,2025-12-01 19:11:52
240,pottery,55,48,P45 consists of (由...组成),砂,0.8,2025-12-01 19:11:52
241,pottery,56,65,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 19:11:52
242,pottery,56,45,P45 consists of (由...组成),夹砂红褐陶,0.8,2025-12-01 19:11:52
243,pottery,56,60,P1\text{ is identified by},M10:89,0.8,2025-12-01 19:11:52
244,pottery,56,48,P45 consists of (由...组成),砂,0.8,2025-12-01 19:11:52
245,pottery,57,65,P53 has former or current location,瑶山十一号墓,0.8,2025-12-01 19:11:52
246,pottery,57,45,P45 consists of (由...组成),泥质灰陶,0.8,2025-12-01 19:11:52
247,pottery,57,60,P1\text{ is identified by},M11:9,0.8,2025-12-01 19:11:52
248,pottery,57,55,P103 was intended for (被意图用于),过滤,0.8,2025-12-01 19:11:52
249,pottery,58,54,P43 has dimension (具有量度),高18、口径13.9厘米,0.8,2025-12-01 19:11:52
250,pottery,58,65,P53 has former or current location,瑶山十一号墓,0.8,2025-12-01 19:11:52
251,pottery,58,45,P45 consists of (由...组成),夹砂红褐陶,0.8,2025-12-01 19:11:52
252,pottery,58,57,P108 was produced by (已产出),器表光滑,0.8,2025-12-01 19:11:52
253,pottery,58,60,P1\text{ is identified by},M11:10,0.8,2025-12-01 19:11:52
254,pottery,58,55,P103 was intended for (被意图用于),炊煮,0.8,2025-12-01 19:11:52
255,pottery,58,52,P46 is composed of (由...构成),侈口，沿面平直，鼓腹，圜底，鱼鳍形足,0.8,2025-12-01 19:11:52
256,pottery,58,48,P45 consists of (由...组成),砂,0.8,2025-12-01 19:11:52
257,pottery,59,65,P53 has former or current location,瑶山十一号墓,0.8,2025-12-01 19:11:52
258,pottery,59,45,P45 consists of (由...组成),夹粗砂红陶,0.8,2025-12-01 19:11:52
259,pottery,59,60,P1\text{ is identified by},M11:13,0.8,2025-12-01 19:11:52
260,pottery,59,48,P45 consists of (由...组成),粗砂,0.8,2025-12-01 19:11:52
261,pottery,60,54,P43 has dimension (具有量度),高10.3、口径15.5、底径10.2厘米,0.8,2025-12-01 19:11:52
262,pottery,60,65,P53 has former or current location,瑶山十一号墓,0.8,2025-12-01 19:11:52
263,pottery,60,45,P45 consists of (由...组成),夹细砂红褐陶,0.8,2025-12-01 19:11:52
264,pottery,60,57,P108 was produced by (已产出),器表光滑,0.8,2025-12-01 19:11:52
265,pottery,60,60,P1\text{ is identified by},M11:47,0.8,2025-12-01 19:11:52
266,pottery,60,47,E55 Type,细砂,0.8,2025-12-01 19:11:52
267,pottery,60,52,P46 is composed of (由...构成),侈口，沿面直，微鼓腹，平底，底中间有大孔，腹外壁有2个对称的鸡冠状鳖耳,0.8,2025-12-01 19:11:52
268,pottery,60,48,P45 consists of (由...组成),细砂,0.8,2025-12-01 19:11:52
269,pottery,61,54,P43 has dimension (具有量度),高14.8、口径13.6厘米,0.8,2025-12-01 19:11:52
270,pottery,61,65,P53 has former or current location,瑶山十一号墓,0.8,2025-12-01 19:11:52
271,pottery,61,45,P45 consists of (由...组成),夹砂红褐陶,0.8,2025-12-01 19:11:52
272,pottery,61,57,P108 was produced by (已产出),器表光滑,0.8,2025-12-01 19:11:52
273,pottery,61,60,P1\text{ is identified by},M11:48,0.8,2025-12-01 19:11:52
274,pottery,61,55,P103 was intended for (被意图用于),炊煮,0.8,2025-12-01 19:11:52
275,pottery,61,52,P46 is composed of (由...构成),侈口，沿面微有凹凸不平，鼓腹，圜底，矮鱼鳍形足,0.8,2025-12-01 19:11:52
276,pottery,61,48,P45 consists of (由...组成),砂,0.8,2025-12-01 19:11:52
277,pottery,62,54,P43 has dimension (具有量度),口径约11、足径约16厘米,0.8,2025-12-01 19:11:52
278,pottery,62,65,P53 has former or current location,瑶山十一号墓,0.8,2025-12-01 19:11:52
279,pottery,62,45,P45 consists of (由...组成),夹砂红陶,0.8,2025-12-01 19:11:52
280,pottery,62,57,P108 was produced by (已产出),器表磨光,0.8,2025-12-01 19:11:52
281,pottery,62,60,P1\text{ is identified by},M11:49,0.8,2025-12-01 19:11:52
282,pottery,62,52,P46 is composed of (由...构成),侈口，斜唇，沿面内凹，鼓腹，矮圈足外撇,0.8,2025-12-01 19:11:52
283,pottery,62,48,P45 consists of (由...组成),砂,0.8,2025-12-01 19:11:52
284,pottery,63,54,P43 has dimension (具有量度),口径约23.4厘米,0.8,2025-12-01 19:11:52
285,pottery,63,65,P53 has former or current location,瑶山十一号墓,0.8,2025-12-01 19:11:52
286,pottery,63,58,P108 was produced by (已产出),彩绘,0.8,2025-12-01 19:11:52
287,pottery,63,45,P45 consists of (由...组成),泥质陶,0.8,2025-12-01 19:11:52
288,pottery,63,60,P1\text{ is identified by},M11:50,0.8,2025-12-01 19:11:52
289,pottery,63,52,P46 is composed of (由...构成),侈口，盘壁微折，喇叭形圈足,0.8,2025-12-01 19:11:52
290,pottery,64,65,P53 has former or current location,瑶山遗址十一号墓,0.8,2025-12-01 19:11:52
291,pottery,64,45,P45 consists of (由...组成),泥质灰陶,0.8,2025-12-01 19:11:52
292,pottery,64,60,P1\text{ is identified by},M14:46,0.8,2025-12-01 19:11:52
293,pottery,64,52,P46 is composed of (由...构成),浅盘，折腹,0.8,2025-12-01 19:11:52
