文物类型,"文化特征单元 CAU
（Culture Attributes Unit）",CAU ID,文化特征单元定义（CAU Definition）,一级指标,二级指标,三级指标,值类型,索引/主键,抽取值字典/定义,原文描述/术语示例,原文描述转写示例,同义词示例,,,,
,掺杂物,TemperType,胎土中掺入的非塑性物质，包含矿物质和有机物等,"掺杂策略（Temper Strategy, ）",\,\,唯一值,,"TS0：无掺杂（自然胎）No temper
TS1：单一掺杂Single temper
TS2：多重掺杂Multiple temper
TS3：系统性配比掺杂（明确、稳定比例）Systematic mixed temper
其他：填入实际值
未知：null","细砂、粗砂、云母、贝壳、炭粒、有机物、壳质、稻壳、植物纤维、骨粉、旧陶片草茎、矿物质、石英砂、长石、无掺杂物等




",,,,,,
,,,,材料来源（Material Origin）,\,\,属性族,,"MO1 ： 矿物质掺杂（Mineral temper）
MO2 ：生物质掺杂（植物/动物）（Biogenic temper）
MO3 ：人工再生掺杂（Artificial/recycled temper）
MO4 ：混合来源（Mixed origin）
MO0 ：无掺杂（No temper）
MO5：其他 other
MO6：未知 unknown
*分支为单选填写，所以每个分支不需要单独“未知”选项",,,,,,,
,,,,,MO0：无掺杂,\,文本,,如果进入MO0分支，直接填写“无掺杂”,,,,,,,
,,,,,"
MO1：矿物质",\,多值,,"MO1.1 ：石英类（Quartz-based minerals）：a、石英砂 Quartz sand；b、细砂 Fine sand；c、粗砂 Coarse sand
MO1.2 ：长石类（Feldspar-based minerals）：a、长石 Feldspar
MO1.3 ： 云母类（Mica-based minerals）：a、云母
MO1.4 ： 其他矿物（Other minerals）
MO1.9 ：矿物质（未细分）（Mineral (unspecified)）
其他：填入实际值",,,,,,,
,,,,,MO2：生物质,\,多值,,"MO2.1 ： 植物性（Plant-based temper）：a、稻壳 Rice husk；b、植物纤维 Plant fiber；c、草茎 Grass stem；z、有机物 Organic matter (unspecified)
MO2.2 ： 动物性（Animal-based temper）：a、贝壳 Shell；b、壳质 Shell-derived material；c、骨粉 Bone powder
MO2.3 ： 生物质（未细分）(Biogenic temper)
其他：填入实际值",,,,,,,
,,,,,MO3：人工再生,\,多值,,"MO3.1 ： 旧陶片（grog）(Ceramic-derived temper (grog)）
MO3.2 ： 燃烧副产物（Combustion by-products）：a、炭粒 Charcoal temper
MO3.3 ：人工掺杂（未细分）（Artificial temper (unspecified)）
其他：填入实际值",,,,,,,
,,,,,MO4：混合来源（Mixed origin）,\,文本,,填写描述原文,,,,,,,
,,,,,MO5：其他 other,\,文本,,填写描述原文,,,,,,,
,,,,,MO6：未知 unknown,\,文本,,null,,,,,,,
,,,,颗粒度,\,\,唯一值,,"GP1 ： 细粒
GP2 ：中粒
GP3 ：粗粒
GP9 ：未说明",,,,,,,
,硬度,Hardness,用于物理检测，并可辅助推理烧成温度。,硬度,\,\,唯一值,,"HD1：Very soft 极软：易刻划，胎体疏松
HD2：Soft 较软：可刻划，敲击无清音
HD3：Medium 中等：不易刻划，声音一般
HD4：Hard 较硬：难刻划，敲击清脆
HD5：Very hard 极硬：极难刻划，近似瓷化
其他：填入实际值
未知：null",,"“胎质疏松”“质软” → HD1 / HD2
“质较坚”“较硬” → HD3 / HD4
“坚硬”“敲击有金属声” → HD5",,,,,
,烧成温度,FiringTemperatureType,记录生产该陶器时的窑温数据。低温、中温、高温陶的技术类型,烧成温度,\,\,唯一值,,"FTT1：Very low-fired 极低温烧成：<600 摄氏度
FTT2：	Low-fired 低温烧成：600–800
FTT3：Medium-fired 中温烧成：800–950
FTT4：High-fired 高温烧成：950–1100
FTT5：Very high-fired 极高温烧成：>1100
其他：填入实际值
未知：null",低温、中温、高温、还原气氛、氧化气氛等,"“火候不足”“低温烧成” → FTT1 / FTT2
“烧成较高”“胎质坚硬” → FTT3 / FTT4
“接近瓷化”“高温釉陶” → FTT5",,,,,
,基本器型,BasicVesselClass,器物大类，陶器的分类名称（鼎、罐、盆、豆、尊等），是类型体系的上位结构，用来集合同类形制的所有子型。,器皿类（Vessel）,\,\,唯一值,,"VT101：罐 Jar
VT102：瓮 Urn
VT103：瓿 Small jar / Pot
VT104：壶 Ewer
VT105：瓶 Bottle
VT106：盆 Basin
VT107：碗 Bowl
VT108：杯 Cup
VT109：豆 Dou (stemmed dish)
VT110：尊 Zun
VT111：簋 Gui
VT112：鼎 Ding (tripod cauldron)
VT113：鬲 Li (tripod cooking vessel)
VT114：釜 Fu (cooking pot)
VT115：甑 Zeng (steamer)
VT116：盘 Plate
VT117：盂 Yu (deep bowl)
VT118：钵Bo
VT119：匜 Yi (pouring vessel)
VT120：盉 He (mixing/pouring vessel)
其他：填入实际值
未知：null",罐类、壶类、瓶类、鼎类、鬲类、豆类、盆类、碗类、杯类、甑类、瓮类、尊类、簋类、釜类、灶类、井类、仓类、屋类、俑类、瓿类、附件（耳、鋬、流、足、盖类）等,,,,,,
,,,,设施/构件（Installation/Fixture）,\,\,唯一值,,"VT201：灶 Stove
VT202：井 Well lining
VT203：仓 Storage facility
VT204：屋 Architectural model / House
VT205：窑具 Kiln furniture
其他：填入实际值
未知：null",,,,,,,
,,,,俑与模型（Figurine/Model）,\,\,唯一值,,"VT301：俑 Figurine
VT302：器物模型 Object model
其他：填入实际值
未知：null",,,,,,,
,,,,附件类型 Appendage Type,\,\,唯一值,,"AP01：耳 Lug / Ear
AP02：鋬 Handle
AP03：流 Spout
AP04：足 Foot
AP05：盖 Lid
AP06：圈足 Ring foot
AP07：三足 Tripod feet
AP08：假足 Pseudo-foot
其他：填入实际值
未知：null",,,,,,,
,器型部位特征,VesselMorphologicalFeature,"描述器物形体局部构造和具体部位形态，如口沿、腹部、底足、附加构件的形态特征，和特征描述

部位层级（Part) 包括：
P1 ：口沿（Rim / Mouth）
P2 ：颈（Neck）
P3 ：肩（Shoulder）
P4 ：腹（Body / Belly）
P5 ：底（Base / Bottom）
P6 ：足（ Foot / Support）
P7 ：器壁（Wall / Thickness）
P8 ：附件区（Appendage zone）
P9：其他（other)
P10：未知（NULL)",部位层级（Part) ,\,\,属性族,,"P1 ：口沿（Rim / Mouth）
P2 ：颈（Neck）
P3 ：肩（Shoulder）
P4 ：腹（Body / Belly）
P5 ：底（Base / Bottom）
P6 ：足（ Foot / Support）
P7 ：器壁（Wall / Thickness）
P8 ：附件区（Appendage zone）
P9：其他
P10：未知
*分支除未知外，皆为复选","口沿特征：敞口、斜束口、折沿口、侈口、喇叭口、卷沿、直口、外撇口、内收口、折沿口、侈口、喇叭口、卷沿、加厚口、扁平口沿、宽口、小口、内折口、外撇口等
腹部特征：鼓腹、鼓棱腹、深腹、浅腹、收腹、直腹、斜腹、扁腹、长腹、球腹、矮腹、卵形腹等
底足特征：圜底、平底、圈足、高圈足、矮圈足、三棱足、鱼鳍足、三角足、低圈足、平折足、锥形足等
附件特征:附耳、系钮、鋬手（把手）、扁耳、立耳、侧耳、钮、鋬、附加塑饰、突棱
器壁特征",,,,,,
,,,,,P1 口沿特征（Rim / Mouth Attributes）,\,属性族,,"P1F1：敞收程度（Opening degree）
P1F2：口沿剖面（Rim profile）
P1F3：口沿方向(Rim direction）
P1F4：口沿处理（Rim modification）
P1F5：口径尺度（Rim size）",,,,,,,
,,,,,,P1F1：敞收程度（Opening degree）,唯一值,,"P1A101：敞口 Open mouth
P1A102：小口 Narrow mouth
P1A103：宽口 Wide mouth
其他：填入实际值
未知：null",,,,,,,
,,,,,,P1F2：口沿剖面（Rim profile）,唯一值,,"P1A201：直口 Straight rim
P1A202：折沿口 Folded rim
P1A203：内折口 Inward folded rim
P1A204：卷沿 Rolled rim
P1A205：扁平口沿 Flattened rim
其他：填入实际值
未知：null",,,,,,,
,,,,,,P1F3：口沿方向(Rim direction）,唯一值,,"P1A301：外撇口 Everted rim
P1A302：内收口 Inverted rim
P1A303：喇叭口 Trumpet-shaped rim
P1A304：侈口 Flaring rim
P1A305：斜束口 Obliquely constricted rim
其他：填入实际值
未知：null",,,,,,,
,,,,,,P1F4：口沿处理（Rim modification）,唯一值,,"P1A401：加厚口Thickened rim
其他：填入实际值
未知：null",,,,,,,
,,,,,,P1F5：口径尺度（Rim size）,数量值,,填入数量（单位：mm），没有提及就写入null,,,,,,,
,,,,,P2 颈部特征（Neck Attributes）,\,属性族,,待补充,,,,,,,
,,,,,,P2 颈部特征（Neck Attributes）的字典相关,待补充,,待补充,,,,,,,
,,,,,P3 肩部特征（Shoulder Attributes）,\,属性族,,待补充,,,,,,,
,,,,,,P3 肩部特征（Shoulder Attributes）的字典相关,待补充,,待补充,,,,,,,
,,,,,P4 腹部特征（Body / Belly Attributes）,\,属性族,,"P4F1	：丰满度Body fullness
P4F2	：轮廓Body profile
P4F3	：比例Vertical proportion",,,,,,,
,,,,,,P4F1：丰满度,唯一值,,"P4F101：鼓腹	Globular belly
P4F102：球腹 Spherical belly
P4F103：卵形腹 Ovoid belly
P4F104：扁腹 Flattened belly
其他：填入实际值
未知：null",,,,,,,
,,,,,,P4F2：轮廓,唯一值,,"P4F201：直腹	Straight-sided body
P4F202：斜腹	Slanted body
P4F203：收腹	Contracting body
P4F204：鼓棱腹 Ribbed belly
其他：填入实际值
未知：null",,,,,,,
,,,,,,P4F3： 比例,唯一值,,"P4F301：深腹 Deep body
P4F302：浅腹	Shallow body
P4F303：长腹	Elongated body
P4F304：矮腹	Short body
其他：填入实际值
未知：null",,,,,,,
,,,,,P5 底型（Base type）,\,唯一值,,"P5F101：圜底 Rounded base
P5F102：平底 Flat base
其他：填入实际值
未知：null",,,,,,,
,,,,,P6 足型（Foot / Support）,\,唯一值,,"P6F101：圈足 Ring foot
P6F102：高圈足 High ring foot
P6F103：低圈足 Low ring foot
P6F104：平折足 Folded flat foot
P6F105：三角足 Triangular foot
P6F106：三棱足 Trilateral foot
P6F107：鱼鳍足 Fin-shaped foot
P6F108：锥形足 Conical foot
其他：填入实际值
未知：null",,,,,,,
,,,,,P7 器壁特征（Wall / Thickness）,\,唯一值,,"P7F101：厚壁 Thick wall
P7F102：薄壁 Thin wall
P7F103：均匀壁 Uniform wall
P7F104：不均匀壁 Uneven wall
其他：填入实际值
未知：null",,,,,,,
,,,,,P8 附件特征（Appendage Attributes）,\,唯一值,,"P8F101：附耳	Applied ear
P8F102：扁耳	Flat ear
P8F103：立耳	Vertical ear
P8F104：侧耳	Lateral ear
P8F105：系钮	Suspension knob
P8F106：钮 Knob
P8F107：鋬手/把手 Handle
P8F108：附加塑饰 Applied plastic decoration
P8F109：突棱 Raised ridge
其他：填入实际值
未知：null",,,,,,,
,,,,,P9 其他,\,文本,,原文描述,,,,,,,
,,,,,P10 未知,\,文本,,如果没有相关描述即为：无相关内容,,,,,,,
,器物组合,VesselAssemblageType,"同一出土单位内共存器物的模式，陶器所属的组合类型，其差异可反映时间分期。器物组合可以是归纳后的组合，也可以是客观的器物和器物的组合，例如杯盘组合。
Scope note：器物组合常用于构建配套组（assemblage group）并指示生活方式变化。",组合情境 Context Domain,\,\,属性族,,"CD1	：炊煮系统	
CD2	：礼制系统	
CD3	：饮食系统	
CD4	：储藏系统	
CD5	：墓葬系统	
CD6	：生产设施
CD7：其他（other)
CD8：未知（NULL)	
*分支除未知外，皆为复选",炊煮组合、礼仪组合、储藏组合、随葬组合、饮食组合、水器组合、生产工具组合、家庭组合、鼎簋组合、杯盘组合等,,,,,,
,,,,,CD1 炊煮系统,\,唯一值,,"CD101	：炊煮组合Cooking set	
CD102：蒸煮组合（甑-釜）	Steaming set	
CD103：炊食一体组合 Cooking–serving set
其他：填入实际值
未知：null	",,,,,,,
,,,,,CD2 礼制系统,\,唯一值,,"CD201：鼎簋组合 Ding–Gui set	
CD202	：礼仪食器组合Ritual food set	
CD203	：礼仪饮酒组合Ritual drinking set	
其他：填入实际值
未知：null",,,,,,,
,,,,,CD3 饮食系统,\,唯一值,,"CD301	：杯盘组合Cup–Plate set	
CD302：注饮组合（壶-杯）	Pouring–drinking set
其他：填入实际值
未知：null",,,,,,,
,,,,,CD4 储藏系统,\,唯一值,,"CD401	：储藏组合Storage jar set	
CD402	：家庭组合Household mixed set	
其他：填入实际值
未知：null",,,,,,,
,,,,,CD5 墓葬系统,\,唯一值,,"CD501	：随葬组合Funerary provision set	
CD502	：明器/模型组合Model-based funerary set
其他：填入实际值
未知：null	",,,,,,,
,,,,,CD6 生产设施,\,唯一值,,"CD601：生产工具组合 Production tool set	
CD602：水器/井具组合 Water facility set	
CD603：灶—炊器组合 Kitchen installation set	
其他：填入实际值
未知：null",,,,,,,
,,,,,CD7 其他,\,文本,,原文描述,,,,,,,
,,,,,CD8 未知,\,文本,,如果没有相关描述即为：无相关内容,,,,,,,
,量度信息,MetricInformation,器物的尺寸结构化数据，用于定量研究,量度分类,\,\,属性族,,"MT1：高度类
MT2：直径类
MT3：容积体积
MT4：质量/重量
MT5：壁厚类
MT6：比例与指数",,,,,,,
,,,,,高度类（mm）,\,属性族,,"MT101：vessel_height 器高（完整器）
MT102：rim_to_shoulder_h 口至肩高度
MT103：shoulder_to_base_h 肩至底高度",,,,,,,
,,,,,,MT101：vessel_height 器高（完整器）,数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,MT102：rim_to_shoulder_h 口至肩高度,数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,MT103：shoulder_to_base_h 肩至底高度,数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,直径类（mm）,\,属性族,,"MT201	：	口径Rim diameter (RD)
MT202	：颈径Neck diameter	
MT203	：肩径Shoulder diameter	
MT204	：最大腹径Maximum body diameter (BDmax)	
MT205	：腹径（未说明最大/最小）Body diameter (BD)	
MT206	：底径Base diameter	
MT207	：	足径Foot diameter (FD)
MT208	：内口径（若报告出现）Inner rim diameter	",高度、口径、腹径、足径、厚度、比例、容积、重量、长度、宽度等,,,,,,
,,,,,,"MT201	：	口径Rim diameter (RD)",数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,"MT202	：颈径Neck diameter	",数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,"MT203	：肩径Shoulder diameter",数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,"MT204	：最大腹径Maximum body diameter (BDmax)",数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,"MT205	：腹径（未说明最大/最小）Body diameter (BD)",数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,"	MT206	：底径Base diameter	",数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,"MT207	：	足径Foot diameter (FD)",数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,"MT208	：内口径（若报告出现）Inner rim diameter	",数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,容积体积,\,属性族,,"MT301	：容积/容量Capacity (Vcap)	
MT302	：体积（计算/复原）Volume (V)	",,,,,,,
,,,,,,MT301：容积/容量Capacity (Vcap),数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,MT302：体积（计算/复原）Volume (V),数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,质量/重量（Mass）,\,属性族,,MT401：Mass/Weight重量,,,,,,,
,,,,,,MT401：Mass/Weight重量,数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,壁厚类（mm）,\,属性族,,"MT501	：器壁厚（平均）Wall thickness (avg)	
MT502	：口沿厚Rim thickness	
MT503	：底厚Base thickness	
MT504	：最小厚度Min thickness	
MT505	：最大厚度Max thickness	",,,,,,,
,,,,,,MT501：器壁厚（平均）Wall thickness (avg),数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,MT502：口沿厚Rim thickness,数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,MT503：底厚Base thickness,数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,MT504：最小厚度Min thickness,数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,MT505：最大厚度Max thickness,数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,比例与指数,\,属性族,,"MT601：Height-to-rim ratio (H/RD)	高口比
MT602	：高腹比Height-to-body ratio (H/BDmax)	
MT603	：口腹比Rim-to-body ratio (RD/BDmax)
MT604	：修长指数（一般指 H/BDmax）Slenderness index
MT605	：薄胎指数（与厚度相关的标准化指标）Wall thinness index	",,,,,,,
,,,,,,MT601：Height-to-rim ratio (H/RD) 高口比,数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,MT602：高腹比Height-to-body ratio (H/BDmax),数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,MT603：口腹比Rim-to-body ratio (RD/BDmax),数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,MT604：修长指数（一般指 H/BDmax）Slenderness index,数量值,,根据描述填入数值，缺失则为null,,,,,,,
,,,,,,MT605：薄胎指数（与厚度相关的标准化指标）Wall thinness index,数量值,,根据描述填入数值，缺失则为null,,,,,,,
,器物功能,FunctionalType,"按器物用途进行分类，陶器制造时的预设用途。
Scope note：功能判断常用于识别相同器型在不同时期的用途变化。",器物功能,\,\,属性族,,"FT1：日常与生计
FT2：生产
FT3：礼仪与信仰
FT4：丧葬与象征
FT5：建筑与设施
FT6：社会与娱乐
FT7：其他
FT8：未知
*分支除未知外，皆为复选",,,,,,,
,,,,,FT1：日常与生计,\,多值,,"
FT101	：炊煮	Cooking
FT102	：蒸煮	Steaming
FT103	：盛食	Serving food
FT104	：储藏	Storage
FT105	：盛水	Water holding
FT106	：注水	Pouring water
FT107	：过滤	Filtering
其他：填入实际值
未知：null","炊煮类、盛储类、水器类、过滤器类、纺织工具、生产工具、礼器、冥器、模型明器、俑及偶像、建筑材料、娱乐与玩具等

炊煮用器：鼎、甑、锅、鬲、灶具
盛储用器：罐、缸、壶、盆、盒
饮食器：杯、豆、盘、碗
水器：壶、罐、瓿
生产工具：纺轮、纺锤、磨盘、坩埚
礼仪器：尊、觚、鼎（礼儀用）、豆（礼儀用）
冥器/随葬器：明器、模型器
俑及偶像：人物俑、动物俑、神怪俑等
模型明器	陶屋、陶仓、陶灶、陶井、陶磨等。",,,,,,
,,,,,FT2：生产,\,多值,,"FT201：纺织 Textile production
FT202：农业 Agricultural processing
FT203：手工业 Craft production
FT204：制陶 Pottery production
其他：填入实际值
未知：null",,,,,,,
,,,,,FT3：礼仪与信仰,\,多值,,"FT301：礼仪盛食 Ritual food service
FT302：礼仪饮酒 Ritual drinking
FT303：供献 Offering
FT304：信仰象征 Religious symbolism
其他：填入实际值
未知：null",,,,,,,
,,,,,FT4：丧葬与象征,\,多值,,"FT401	：随葬使用	Funerary use
FT402	：明器象征	Mingqi symbolism
FT403	：人像/偶像	Figurine / idol
其他：填入实际值
未知：null",,,,,,,
,,,,,FT5：建筑与设施,\,多值,,"FT501	：建筑构件	Architectural component
FT502	：生活设施	Domestic installation
其他：填入实际值
未知：null",,,,,,,
,,,,,FT6：社会与娱乐,\,多值,,"FT601	：玩具	Toy
FT602	：乐器	Musical instrument
FT603	：娱乐	Leisure object
其他：填入实际值
未知：null",,,,,,,
,,,,,FT7：其他,\,文本,,原文描述,,,,,,,
,,,,,FT8：未知,\,文本,,如果没有相关描述即为：无相关内容,,,,,,,
,成型工艺,Forming Technique,成型阶段的技术路线或基础技术,动力系统（power_system）,\,\,唯一值,,"P0：无轮/无持续旋转（Hand-powered）--手制
P1：慢轮/转盘（Tournette / slow wheel）-慢轮/慢轮修正
P2：快轮拉坯（Fast wheel throwing）-轮制/快轮拉胚
其他：填入实际值
未知：null",手制、轮制、泥条盘筑、模制、复合成型、倒筑/圈筑、捏塑、盘筑法、泥片拼接法、捏塑法、拍打法、慢轮修整、快轮拉坯、轮制＋手工修整等,,,,,,
,,,,主成型方式（primary_forming）,\,\,唯一值,,"F10：捏塑（Pinching / modeling as primary）
F20：泥条盘筑/盘筑（Coiling as primary）
F21：倒筑/圈筑（Coiling variant / ring-building）
F30：泥片拼接/泥板成型（Slab-building as primary）
F40：模制（Molding as primary）
F50：轮制拉坯为主（Wheel-throwing as primary）
其他：填入实际值
未知：null",手制、轮制、泥条盘筑、模制、复合成型、倒筑/圈筑、捏塑、盘筑法、泥片拼接法、捏塑法、拍打法、慢轮修整、快轮拉坯、轮制＋手工修整等,,,,,,
,,,,辅助成型（secondary_ops）,\,\,多值,,"S10：拍打法/拍打（Paddle-and-anvil / paddling）
S20：慢轮修整（Wheel-finishing on slow wheel）
S21：轮上修整（Wheel-finishing, speed unknown）
S30：手工修整（Hand finishing / trimming without wheel）
S40：附件加制（Applied features: 耳、鋬、足、流等）
S50：复合成型标记（Composite forming flag）——仅作为标记，不当作工艺本体
其他：填入实际值
未知：null",手制、轮制、泥条盘筑、模制、复合成型、倒筑/圈筑、捏塑、盘筑法、泥片拼接法、捏塑法、拍打法、慢轮修整、快轮拉坯、轮制＋手工修整等,拍打砧垫-S10,,,,,
,,,,组合链operation_chain,\,\,文本,,根据动力系统、主成型方式、辅助成型的类型进行组合填写；示例（盘筑→拍打→慢轮修整）：1，F20 primary  2，S10 secondary  3，S20 secondary；没有相关描述则填写“无相关内容”,,,,,,,
,修整技术,Finishing Technique,成型后对表面或局部的修整方法,形态校正与表面平整（Morphological Correction）,\,\,唯一值,,"FTQ101：刮削整形（Abrasive removal）：a、刮削
FTQ102： 抹平整形（Plastic smoothing）：a、 抹光；b、细整抹平
FTQ103： 拍压整形（Percussive compression）：a、 抛压
FTQ104： 减材整形（Material removal shaping）：a、 修坯 / 车削（Trimming / turning）；b、 系统性减薄（Systematic thinning）
FTQ105： 接合修正（Joint correction）：a、拼接/接合修正
FTQ106：其他（other)
FTQ107：未知（NULL)

说明：抛压既可服务于 FTQ1（形态）也可服务于 FTQ2（光泽），以功能主导判定。",磨光、抹光、刮削、拍印、抛压、刻划修整、细整抹平、涂泥衣、施釉（晚期）等,手工抹平,,,,,
